,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f08_stimulus_1,f08_stimulus_2,f08_stimulus_3,f08_stimulus_4,f08_stimulus_5
0.0005,-0.50044558,-0.50044558,4.76271232,-0.50044558,-0.50044558,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.5687552,-0.5687552,-0.5687552,4.7222501,-0.5687552,-0.6321916,4.6309663,-0.6321916,-0.6321916,-0.6321916,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.12113616,5.14202174,-0.12113616,-0.12113616,-0.12113616,4.96819826,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.01052632,-0.01052632,-0.01052632,-0.01052632,-0.01052632
0.0015,-0.50044558,4.76271232,4.76271232,-0.50044558,-0.50044558,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.5687552,-0.5687552,-0.5687552,-0.5687552,-0.5687552,-0.6321916,-0.6321916,-0.6321916,-0.6321916,-0.6321916,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.01052632,-0.01052632,-0.01052632,-0.01052632,-0.01052632
0.0025,-0.50044558,4.76271232,-0.50044558,-0.50044558,-0.50044558,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.5687552,-0.5687552,-0.5687552,-0.5687552,-0.5687552,-0.6321916,-0.6321916,-0.6321916,-0.6321916,-0.6321916,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.01052632,-0.01052632,-0.01052632,-0.01052632,-0.01052632
0.0035,-0.50044558,-0.50044558,4.76271232,-0.50044558,-0.50044558,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.5687552,-0.5687552,-0.5687552,-0.5687552,-0.5687552,-0.6321916,-0.6321916,-0.6321916,-0.6321916,-0.6321916,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.01052632,-0.01052632,-0.01052632,-0.01052632,-0.01052632
0.0045,-0.50044558,-0.50044558,-0.50044558,-0.50044558,-0.50044558,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.10011138,4.6944027,-0.5687552,-0.5687552,-0.5687552,-0.5687552,-0.6321916,-0.6321916,-0.6321916,4.6588137,-0.6321916,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.01052632,-0.01052632,-0.01052632,-0.01052632,-0.01052632
0.0055,-0.50044558,-0.50044558,-0.50044558,-0.50044558,-0.50044558,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.5687552,-0.5687552,4.6944027,-0.5687552,-0.5687552,-0.6321916,-0.6321916,-0.6321916,-0.6321916,-0.6321916,-0.25299358,5.01016432,-0.25299358,-0.25299358,-0.25299358,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.12113616,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.29495964,-0.01052632,-0.01052632,-0.01052632,-0.01052632,-0.01052632
0.0065,-0.50044558,-0.50044558,-0.50044558,-0.50044558,4.76271232,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.10011138,-0.5687552,-0.5687552,9.9575606,-0.5687552,-0.5687552,-0.6321916,-0.6321916,-0.6321916,-0.6321916,4.6309663,-0.25299358,-0.25299358,-0.25299358,-0.25299358,-0.25299358,5.14202174,-0.12113616,5.14202174,-0.12113616,-0.12113616,-0.29495964,-0.29495964,-0.29495964,4.99604566,-0.29495964,-0.01052632,-0.01052632,-0.01052632,-0.01052632,-0.01052632
0.0075,-0.50044558,4.76271232,10.02587022,10.08156502,15.28902812,-0.10011138,-0.10011138,5.16304652,-0.10011138,5.16304652,-0.5687552,4.6944027,15.2207185,15.3042607,15.2207185,-0.6321916,4.6309663,-0.6321916,-0.6321916,15.1572821,5.01016432,-0.25299358,-0.25299358,-0.25299358,15.53648012,-0.12113616,-0.12113616,10.40517964,-0.12113616,10.40517964,-0.29495964,-0.29495964,4.96819826,4.99604566,4.96819826,-0.01052632,-0.01052632,-0.01052632,-0.01052632,-0.01052632
0.0085,-0.50044558,4.76271232,4.76271232,10.08156502,-0.50044558,-0.10011138,-0.10011138,-0.10011138,-0.10011138,10.42620442,-0.5687552,-0.5687552,15.2207185,15.3042607,9.9575606,-0.6321916,-0.6321916,4.6309663,25.8228349,4.6309663,-0.25299358,-0.25299358,10.27332222,5.03801172,10.27332222,-0.12113616,-0.12113616,10.40517964,5.16986914,10.40517964,-0.29495964,-0.29495964,10.23135616,10.28705096,-0.29495964,-0.01052632,-0.01052632,-0.01052632,-0.01052632,10.51578948
0.0095,-0.50044558,4.76271232,25.81534392,4.79055972,4.76271232,-0.10011138,-0.10011138,5.16304652,15.77290452,20.95252022,15.2207185,-0.5687552,4.6944027,-0.5687552,-0.5687552,-0.6321916,-0.6321916,4.6309663,4.6588137,-0.6321916,-0.25299358,-0.25299358,-0.25299358,-0.25299358,5.01016432,-0.12113616,-0.12113616,10.40517964,10.46087444,15.66833754,-0.29495964,-0.29495964,4.96819826,10.28705096,4.96819826,-0.01052632,-0.01052632,-0.01052632,-0.01052632,-0.01052632
