,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5
0.0005,-0.26415674,-0.26415674,-0.26415674,-0.26415674,-0.26415674,-0.92845968,-0.92845968,3.20377172,3.18676662,-0.92845968,7.26584022,3.13360882,-0.99862258,-0.99862258,3.11660372,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.10728498,-0.10728498,-0.10728498,-0.10728498,-0.10728498
0.0015,-0.26415674,-0.26415674,-0.26415674,-0.26415674,-0.26415674,3.20377172,3.20377172,-0.92845968,-0.92845968,3.18676662,-0.99862258,-0.99862258,-0.99862258,-0.99862258,3.11660372,-0.27655342,-0.27655342,3.85567798,-0.27655342,-0.27655342,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.10728498,-0.10728498,-0.10728498,-0.10728498,-0.10728498
0.0025,-0.26415674,-0.26415674,-0.26415674,-0.26415674,-0.26415674,-0.92845968,3.20377172,-0.92845968,-0.92845968,-0.92845968,-0.99862258,3.13360882,-0.99862258,-0.99862258,3.11660372,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.10728498,-0.10728498,-0.10728498,-0.10728498,-0.10728498
0.0035,-0.26415674,-0.26415674,-0.26415674,-0.26415674,-0.26415674,7.33600312,-0.92845968,3.20377172,-0.92845968,3.18676662,-0.99862258,-0.99862258,-0.99862258,3.11660372,-0.99862258,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.3919668,-0.3919668,-0.3919668,-0.3919668,3.7232595,-0.10728498,-0.10728498,-0.10728498,-0.10728498,-0.10728498
0.0045,-0.26415674,-0.26415674,-0.26415674,-0.26415674,-0.26415674,-0.92845968,-0.92845968,-0.92845968,-0.92845968,-0.92845968,3.13360882,3.13360882,-0.99862258,-0.99862258,3.11660372,-0.27655342,3.85567798,-0.27655342,-0.27655342,-0.27655342,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.10728498,-0.10728498,-0.10728498,-0.10728498,-0.10728498
0.0055,3.86807466,-0.26415674,-0.26415674,3.85106956,-0.26415674,3.20377172,3.20377172,-0.92845968,-0.92845968,3.18676662,-0.99862258,-0.99862258,-0.99862258,-0.99862258,-0.99862258,3.85567798,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.3919668,-0.10728498,-0.10728498,-0.10728498,-0.10728498,-0.10728498
0.0065,-0.26415674,-0.26415674,-0.26415674,3.85106956,-0.26415674,-0.92845968,3.20377172,-0.92845968,-0.92845968,-0.92845968,-0.99862258,3.13360882,-0.99862258,3.11660372,-0.99862258,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.3919668,-0.3919668,-0.3919668,-0.3919668,3.7232595,-0.10728498,-0.10728498,-0.10728498,-0.10728498,-0.10728498
0.0075,-0.26415674,-0.26415674,-0.26415674,-0.26415674,-0.26415674,3.20377172,-0.92845968,7.33600312,3.18676662,-0.92845968,-0.99862258,3.13360882,-0.99862258,3.11660372,3.11660372,-0.27655342,-0.27655342,-0.27655342,3.83867288,-0.27655342,-0.3919668,3.7402646,-0.3919668,-0.3919668,3.7232595,-0.10728498,-0.10728498,-0.10728498,4.00794132,4.00794132
0.0085,-0.26415674,-0.26415674,-0.26415674,3.85106956,-0.26415674,-0.92845968,-0.92845968,-0.92845968,7.30199302,-0.92845968,-0.99862258,-0.99862258,7.26584022,3.11660372,3.11660372,3.85567798,-0.27655342,-0.27655342,-0.27655342,-0.27655342,-0.3919668,3.7402646,-0.3919668,-0.3919668,3.7232595,-0.10728498,-0.10728498,4.02494642,-0.10728498,4.00794132
0.0095,-0.26415674,-0.26415674,8.00030606,3.85106956,7.96629596,-0.92845968,7.33600312,7.33600312,19.64767202,11.41721932,3.13360882,3.13360882,3.13360882,3.11660372,7.23183012,-0.27655342,3.85567798,-0.27655342,3.83867288,16.18435188,-0.3919668,-0.3919668,3.7402646,3.7232595,-0.3919668,-0.10728498,-0.10728498,-0.10728498,-0.10728498,-0.10728498
