,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5
0.0005,2.65566036,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0015,-2.06132074,-2.06132074,-2.06132074,7.37264156,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0025,2.65566036,2.65566036,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0035,-2.06132074,-2.06132074,7.37264156,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0045,-2.06132074,2.65566036,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0055,2.65566036,2.65566036,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0065,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0075,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0085,-2.06132074,2.65566036,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0095,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-2.06132074,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0105,-2.06132074,-2.06132074,2.65566036,-2.06132074,2.65566036,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0115,-2.06132074,-2.06132074,7.37264156,2.65566036,2.65566036,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0125,2.65566036,-2.06132074,-2.06132074,-2.06132074,12.08962266,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0135,-2.06132074,-2.06132074,7.37264156,12.08962266,68.69339626,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0145,-2.06132074,2.65566036,-2.06132074,26.24056606,111.1462265,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0155,2.65566036,-2.06132074,12.08962266,2.65566036,68.69339626,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0165,-2.06132074,-2.06132074,26.24056606,35.67452836,106.4292453,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0175,-2.06132074,2.65566036,35.67452836,40.39150946,78.12735846,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
0.0185,-2.06132074,2.65566036,40.39150946,30.95754716,73.41037736,-0.01886792,-0.01886792,-0.01886792,-0.01886792,-0.01886792
