,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5
0.0005,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0015,8.00212942,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0025,-1.08877968,-1.08877968,-1.08877968,8.00212942,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0035,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0045,-1.08877968,-1.08877968,-1.08877968,-1.08877968,16.92923832,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,8.1927109,8.1927109,-0.8981982,-0.8981982,-0.8981982
0.0055,-1.08877968,8.00212942,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0065,-1.08877968,-1.08877968,-1.08877968,-1.08877968,7.92022932,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0075,-1.08877968,8.00212942,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,8.1108108
0.0085,-1.08877968,8.00212942,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0095,-1.08877968,8.00212942,-1.08877968,8.00212942,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0105,8.00212942,8.00212942,8.00212942,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0115,-1.08877968,8.00212942,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,8.1927109,-0.8981982,-0.8981982
0.0125,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0135,8.00212942,-1.08877968,-1.08877968,-1.08877968,7.92022932,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,8.1927109,-0.8981982,8.1108108
0.0145,-1.08877968,-1.08877968,-1.08877968,-1.08877968,25.93824732,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,8.1108108
0.0155,8.00212942,8.00212942,8.00212942,-1.08877968,-1.08877968,-0.22661754,-0.22661754,8.86429156,-0.22661754,8.78239146,-0.8981982,-0.8981982,8.1927109,8.1927109,8.1108108
0.0165,-1.08877968,-1.08877968,-1.08877968,-1.08877968,7.92022932,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0175,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,8.1927109,17.1198198
0.0185,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,8.1927109,8.1108108
0.0195,-1.08877968,-1.08877968,-1.08877968,-1.08877968,7.92022932,-0.22661754,-0.22661754,-0.22661754,8.86429156,-0.22661754,-0.8981982,-0.8981982,8.1927109,8.1927109,17.1198198
0.0205,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,8.1927109,17.1198198
0.0215,-1.08877968,-1.08877968,8.00212942,-1.08877968,7.92022932,8.86429156,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,8.1927109,8.1927109,17.1198198
0.0225,-1.08877968,-1.08877968,8.00212942,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,8.1927109,-0.8981982,-0.8981982
0.0235,-1.08877968,-1.08877968,8.00212942,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,8.1927109,-0.8981982,-0.8981982,-0.8981982
0.0245,8.00212942,8.00212942,8.00212942,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,8.78239146,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0255,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,8.1927109,-0.8981982,-0.8981982
0.0265,-1.08877968,-1.08877968,8.00212942,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,8.1927109,-0.8981982,-0.8981982
0.0275,8.00212942,-1.08877968,8.00212942,-1.08877968,16.92923832,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0285,8.00212942,-1.08877968,-1.08877968,17.09303852,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0295,-1.08877968,-1.08877968,-1.08877968,-1.08877968,7.92022932,-0.22661754,-0.22661754,8.86429156,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0305,-1.08877968,-1.08877968,8.00212942,-1.08877968,-1.08877968,-0.22661754,-0.22661754,8.86429156,-0.22661754,-0.22661754,-0.8981982,-0.8981982,8.1927109,8.1927109,8.1108108
0.0315,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,17.28362,-0.8981982,-0.8981982
0.0325,8.00212942,-1.08877968,-1.08877968,-1.08877968,16.92923832,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0335,-1.08877968,-1.08877968,8.00212942,17.09303852,7.92022932,-0.22661754,-0.22661754,8.86429156,-0.22661754,-0.22661754,-0.8981982,-0.8981982,8.1927109,8.1927109,-0.8981982
0.0345,-1.08877968,8.00212942,8.00212942,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0355,-1.08877968,-1.08877968,8.00212942,8.00212942,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,8.1927109,-0.8981982,8.1108108
0.0365,-1.08877968,-1.08877968,17.09303852,-1.08877968,7.92022932,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0375,8.00212942,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,17.95520066,-0.22661754,-0.22661754,-0.8981982,-0.8981982,8.1927109,-0.8981982,-0.8981982
0.0385,-1.08877968,-1.08877968,26.18394762,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0395,8.00212942,-1.08877968,-1.08877968,8.00212942,-1.08877968,-0.22661754,8.86429156,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0405,-1.08877968,-1.08877968,17.09303852,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,8.1108108
0.0415,-1.08877968,-1.08877968,8.00212942,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0425,-1.08877968,8.00212942,8.00212942,8.00212942,-1.08877968,-0.22661754,-0.22661754,-0.22661754,8.86429156,8.78239146,8.1927109,8.1927109,8.1927109,-0.8981982,-0.8981982
0.0435,-1.08877968,8.00212942,8.00212942,8.00212942,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0445,-1.08877968,-1.08877968,8.00212942,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0455,-1.08877968,-1.08877968,-1.08877968,-1.08877968,7.92022932,-0.22661754,-0.22661754,-0.22661754,8.86429156,-0.22661754,8.1927109,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0465,-1.08877968,-1.08877968,-1.08877968,-1.08877968,7.92022932,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,8.1927109,-0.8981982
0.0475,8.00212942,-1.08877968,-1.08877968,-1.08877968,-1.08877968,8.86429156,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
0.0485,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,8.86429156,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,17.28362,-0.8981982
0.0495,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-1.08877968,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.22661754,-0.8981982,-0.8981982,-0.8981982,-0.8981982,-0.8981982
