,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5
0.0005,-2,-2,5.4074074,-2,-2,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-1.36296296,-1.36296296,-1.36296296,-1.36296296,-1.36296296,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0015,-2,-2,-2,-2,-2,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-1.36296296,6.04444444,-1.36296296,-1.36296296,-1.36296296,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0025,-2,-2,-2,-2,-2,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-1.36296296,-1.36296296,-1.36296296,-1.36296296,-1.36296296,6.637037,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0035,-2,-2,-2,-2,-2,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-0.94814816,6.04444444,6.04444444,-1.36296296,-1.36296296,-1.36296296,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0045,-2,-2,-2,-2,-2,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-1.36296296,-1.36296296,6.04444444,6.04444444,-1.36296296,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0055,-2,12.8148148,-2,5.4074074,-2,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-1.36296296,6.04444444,-1.36296296,-1.36296296,-1.36296296,-0.7703704,-0.7703704,-0.7703704,6.637037,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0065,-2,5.4074074,-2,-2,-2,-0.94814816,-0.94814816,6.45925924,-0.94814816,-0.94814816,-1.36296296,-1.36296296,-1.36296296,6.04444444,-1.36296296,-0.7703704,-0.7703704,-0.7703704,-0.7703704,-0.7703704,6.5925926,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0075,-2,-2,-2,-2,5.4074074,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-1.36296296,6.04444444,-1.36296296,6.04444444,-1.36296296,-0.7703704,6.637037,-0.7703704,6.637037,-0.7703704,6.5925926,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0085,-2,-2,-2,5.4074074,-2,6.45925924,-0.94814816,-0.94814816,6.45925924,-0.94814816,-1.36296296,6.04444444,-1.36296296,-1.36296296,-1.36296296,6.637037,-0.7703704,-0.7703704,-0.7703704,6.637037,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0095,-2,-2,-2,-2,-2,-0.94814816,-0.94814816,6.45925924,-0.94814816,-0.94814816,-1.36296296,6.04444444,-1.36296296,6.04444444,28.26666664,-0.7703704,-0.7703704,-0.7703704,6.637037,21.4518518,14,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0105,-2,-2,5.4074074,-2,5.4074074,-0.94814816,6.45925924,-0.94814816,6.45925924,6.45925924,6.04444444,6.04444444,13.45185184,13.45185184,13.45185184,-0.7703704,-0.7703704,6.637037,14.0444444,14.0444444,-0.8148148,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0115,-2,5.4074074,-2,5.4074074,-2,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-1.36296296,6.04444444,-1.36296296,6.04444444,43.08148144,-0.7703704,6.637037,6.637037,21.4518518,36.2666666,6.5925926,-0.8148148,-0.8148148,-0.8148148,-0.8148148
0.0125,-2,-2,5.4074074,5.4074074,-2,-0.94814816,-0.94814816,-0.94814816,-0.94814816,-0.94814816,6.04444444,6.04444444,-1.36296296,13.45185184,20.85925924,-0.7703704,-0.7703704,-0.7703704,6.637037,36.2666666,-0.8148148,6.5925926,-0.8148148,-0.8148148,-0.8148148
0.0135,-2,5.4074074,-2,-2,-2,6.45925924,-0.94814816,-0.94814816,6.45925924,13.86666664,-1.36296296,6.04444444,13.45185184,6.04444444,6.04444444,-0.7703704,-0.7703704,6.637037,-0.7703704,-0.7703704,-0.8148148,-0.8148148,-0.8148148,-0.8148148,6.5925926
0.0145,-2,-2,-2,5.4074074,5.4074074,-0.94814816,-0.94814816,6.45925924,-0.94814816,-0.94814816,-1.36296296,-1.36296296,-1.36296296,6.04444444,13.45185184,-0.7703704,-0.7703704,-0.7703704,-0.7703704,28.8592592,-0.8148148,6.5925926,-0.8148148,6.5925926,6.5925926
0.0155,-2,5.4074074,-2,-2,27.6296296,-0.94814816,-0.94814816,-0.94814816,-0.94814816,13.86666664,6.04444444,-1.36296296,6.04444444,-1.36296296,-1.36296296,-0.7703704,-0.7703704,6.637037,6.637037,6.637037,-0.8148148,6.5925926,-0.8148148,-0.8148148,-0.8148148
0.0165,-2,-2,5.4074074,-2,12.8148148,-0.94814816,6.45925924,6.45925924,-0.94814816,21.27407404,6.04444444,-1.36296296,-1.36296296,13.45185184,20.85925924,-0.7703704,-0.7703704,-0.7703704,14.0444444,58.4888889,6.5925926,-0.8148148,-0.8148148,14,6.5925926
0.0175,-2,5.4074074,-2,5.4074074,20.2222222,-0.94814816,-0.94814816,6.45925924,6.45925924,21.27407404,6.04444444,-1.36296296,28.26666664,6.04444444,43.08148144,6.637037,-0.7703704,21.4518518,6.637037,58.4888889,-0.8148148,-0.8148148,-0.8148148,6.5925926,28.8148148
0.0185,-2,-2,-2,5.4074074,5.4074074,-0.94814816,-0.94814816,6.45925924,6.45925924,13.86666664,-1.36296296,-1.36296296,-1.36296296,-1.36296296,28.26666664,-0.7703704,28.8592592,-0.7703704,28.8592592,28.8592592,-0.8148148,-0.8148148,-0.8148148,6.5925926,6.5925926
0.0195,-2,-2,5.4074074,20.2222222,49.8518519,-0.94814816,-0.94814816,6.45925924,21.27407404,28.68148144,-1.36296296,-1.36296296,20.85925924,6.04444444,20.85925924,6.637037,-0.7703704,-0.7703704,43.674074,21.4518518,-0.8148148,-0.8148148,-0.8148148,6.5925926,21.4074074
