,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5
0.0005,-1.61193504,-1.61193504,4.06988316,4.06988316,-1.61193504,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0015,-1.61193504,-1.61193504,-1.61193504,4.06988316,-1.61193504,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.53842448,-1.53842448,-1.53842448,4.14339372,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0025,4.03778246,-1.61193504,4.06988316,-1.61193504,-1.61193504,-1.01608244,-1.01608244,-1.01608244,-1.01608244,4.66573576,-1.53842448,-1.53842448,-1.53842448,4.14339372,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0035,-1.61193504,-1.61193504,-1.61193504,-1.61193504,-1.61193504,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.01608244,4.11129302,4.14339372,-1.53842448,-1.53842448,-1.53842448,-0.1589304,-0.1589304,5.5228878,-0.1589304,-0.1589304
0.0045,-1.61193504,4.06988316,-1.61193504,-1.61193504,4.06988316,4.63363506,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.53842448,4.14339372,-1.53842448,4.14339372,4.14339372,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0055,-1.61193504,-1.61193504,9.75170136,-1.61193504,-1.61193504,-1.01608244,4.66573576,-1.01608244,-1.01608244,-1.01608244,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-1.53842448,-0.1589304,-0.1589304,-0.1589304,11.204706,5.5228878
0.0065,-1.61193504,4.06988316,15.43351946,32.47897406,9.75170136,-1.01608244,-1.01608244,4.66573576,10.34755396,-1.01608244,-1.53842448,4.14339372,-1.53842448,9.82521192,21.18884822,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0075,-1.61193504,-1.61193504,9.75170136,4.06988316,21.11533766,-1.01608244,-1.01608244,10.34755396,4.66573576,21.71119026,-1.53842448,4.14339372,-1.53842448,-1.53842448,9.82521192,-0.1589304,-0.1589304,-0.1589304,5.5228878,5.5228878
0.0085,-1.61193504,-1.61193504,38.16079226,60.88806496,89.29715586,4.63363506,10.34755396,16.02937206,27.39300846,38.75664486,-1.53842448,9.82521192,49.59793912,72.32521192,78.00703002,-0.1589304,-0.1589304,11.204706,11.204706,22.5683423
0.0095,-1.61193504,4.06988316,106.3426105,72.25170136,151.7971559,-1.01608244,-1.01608244,44.43846306,55.80209936,61.48391756,-1.53842448,4.14339372,117.7797573,83.68884822,55.27975732,-0.1589304,-0.1589304,28.2501605,39.6137969,11.204706
0.0105,-1.61193504,32.47897406,146.1153377,129.0698832,134.7517014,4.63363506,-1.01608244,84.21119026,78.52937206,72.84755396,-1.53842448,43.91612102,89.37066642,72.32521192,117.7797573,-0.1589304,-0.1589304,33.9319787,11.204706,28.2501605
0.0115,4.03778246,43.84261046,77.93351946,60.88806496,38.16079226,-1.01608244,10.34755396,21.71119026,38.75664486,38.75664486,4.11129302,26.87066642,78.00703002,49.59793912,55.27975732,-0.1589304,11.204706,22.5683423,5.5228878,11.204706
0.0125,-1.61193504,38.16079226,32.47897406,43.84261046,72.25170136,4.63363506,21.71119026,10.34755396,16.02937206,16.02937206,4.11129302,26.87066642,32.55248462,43.91612102,60.96157552,-0.1589304,11.204706,11.204706,16.8865241,11.204706
0.0135,-1.61193504,38.16079226,21.11533766,21.11533766,26.79715586,-1.01608244,4.66573576,4.66573576,16.02937206,-1.01608244,-1.53842448,32.55248462,21.18884822,15.50703002,32.55248462,-0.1589304,11.204706,22.5683423,-0.1589304,5.5228878
0.0145,-1.61193504,55.20624676,26.79715586,38.16079226,43.84261046,4.63363506,21.71119026,21.71119026,10.34755396,10.34755396,4.11129302,49.59793912,21.18884822,32.55248462,32.55248462,-0.1589304,-0.1589304,5.5228878,11.204706,5.5228878
0.0155,-1.61193504,15.43351946,43.84261046,-1.61193504,32.47897406,-1.01608244,21.71119026,10.34755396,4.66573576,-1.01608244,-1.53842448,15.50703002,15.50703002,-1.53842448,9.82521192,-0.1589304,5.5228878,28.2501605,-0.1589304,-0.1589304
0.0165,9.68749996,9.75170136,15.43351946,4.06988316,4.06988316,10.28335256,10.34755396,10.34755396,16.02937206,10.34755396,4.11129302,21.18884822,4.14339372,21.18884822,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
0.0175,4.03778246,15.43351946,9.75170136,9.75170136,-1.61193504,4.63363506,10.34755396,4.66573576,-1.01608244,-1.01608244,9.76101052,4.14339372,4.14339372,4.14339372,9.82521192,-0.1589304,-0.1589304,11.204706,-0.1589304,-0.1589304
0.0185,-1.61193504,9.75170136,-1.61193504,9.75170136,4.06988316,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.01608244,-1.53842448,15.50703002,9.82521192,-1.53842448,-1.53842448,-0.1589304,-0.1589304,-0.1589304,-0.1589304,-0.1589304
