,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f07_stimulus_6,f07_stimulus_7,f07_stimulus_8,f07_stimulus_9,f07_stimulus_10,f08_stimulus_1,f08_stimulus_2,f08_stimulus_3,f08_stimulus_4,f08_stimulus_5,f08_stimulus_6,f08_stimulus_7,f08_stimulus_8,f08_stimulus_9,f08_stimulus_10,f09_stimulus_1,f09_stimulus_2,f09_stimulus_3,f09_stimulus_4,f09_stimulus_5,f09_stimulus_6,f09_stimulus_7,f09_stimulus_8,f09_stimulus_9,f09_stimulus_10
0.0005,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,17.08766965,-2.52017345,-2.52017345,17.08766965,-0.79072398,-0.79072398,-0.79072398,18.81711912,18.44004522,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0015,-4.9398567,14.6679864,-4.9398567,-4.9398567,-4.9398567,14.6679864,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,17.08766965,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,17.17515079,-2.43269231,-1.43457767,-1.43457767,17.79619153,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0025,14.6679864,14.6679864,14.2909125,-4.9398567,14.2909125,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,17.85067871,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,-2.52017345,-2.52017345,-2.52017345,16.71059575,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-0.79072398,18.81711912,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,-2.43269231,17.17515079,-2.43269231,-2.43269231,17.17515079,-2.43269231,-2.43269231,-2.43269231,-1.43457767,18.17326543,-1.43457767,-1.43457767,17.79619153,-1.43457767,-1.43457767,-1.43457767,-1.43457767,18.17326543,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0035,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,14.6679864,-4.9398567,-0.93834842,-0.93834842,-0.93834842,18.66949468,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,-1.75716439,17.47360481,17.85067871,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,18.81711912,17.17515079,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,18.17326543,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0045,-4.9398567,-4.9398567,-4.9398567,14.6679864,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,18.66949468,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,-1.75716439,17.47360481,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,17.08766965,-2.52017345,-2.52017345,-2.52017345,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,16.79807689,-2.43269231,-2.43269231,36.78299399,-2.43269231,-2.43269231,17.17515079,-2.43269231,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,18.17326543,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0055,14.6679864,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,14.6679864,-4.9398567,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,38.27733788,-0.93834842,-1.75716439,17.85067871,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,-2.52017345,16.71059575,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,18.81711912,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,17.17515079,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0065,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,14.6679864,-4.9398567,-4.9398567,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,18.44513569,-1.16270741,-1.16270741,-2.52017345,-2.52017345,16.71059575,17.08766965,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,17.17515079,-2.43269231,36.78299399,-2.43269231,-2.43269231,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,19.09389138,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0075,-4.9398567,14.6679864,-4.9398567,-4.9398567,14.2909125,-4.9398567,14.6679864,-4.9398567,34.2758296,-4.9398567,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,18.66949468,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,17.85067871,17.85067871,-1.75716439,17.85067871,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,18.44513569,-1.16270741,18.44513569,18.44513569,-1.16270741,17.08766965,-2.52017345,-2.52017345,17.08766965,16.71059575,-2.52017345,17.08766965,-2.52017345,36.69551285,17.08766965,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,18.81711912,18.81711912,18.81711912,18.81711912,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,17.17515079,17.17515079,17.17515079,-1.43457767,-1.43457767,-1.43457767,-1.43457767,17.79619153,18.17326543,-1.43457767,18.17326543,-1.43457767,37.78110863,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,19.47096528,-0.13687782,39.07880848
0.0085,-4.9398567,-4.9398567,33.5216818,14.6679864,-4.9398567,53.8836727,14.6679864,53.8836727,-4.9398567,-4.9398567,-0.93834842,-0.93834842,-0.93834842,18.66949468,-0.93834842,-0.93834842,18.66949468,38.27733788,38.27733788,18.66949468,-1.75716439,-1.75716439,-1.75716439,17.85067871,17.47360481,17.85067871,57.06636501,17.85067871,37.45852191,57.06636501,-1.16270741,-1.16270741,-1.16270741,18.44513569,37.29883109,57.66082199,18.44513569,38.05297889,57.66082199,77.26866509,-2.52017345,-2.52017345,16.71059575,-2.52017345,16.71059575,-2.52017345,-2.52017345,17.08766965,36.69551285,17.08766965,-0.79072398,-0.79072398,-0.79072398,18.81711912,-0.79072398,-0.79072398,77.64064852,116.8563348,97.24849172,58.03280542,-2.43269231,-2.43269231,16.79807689,-2.43269231,-2.43269231,17.17515079,17.17515079,36.78299399,17.17515079,36.78299399,18.17326543,-1.43457767,-1.43457767,-1.43457767,56.25773003,37.78110863,-1.43457767,18.17326543,76.99679483,37.78110863,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,19.47096528,58.68665158,19.47096528,58.68665158,19.47096528
0.0095,-4.9398567,-4.9398567,-4.9398567,-4.9398567,33.5216818,14.6679864,14.6679864,14.6679864,-4.9398567,53.8836727,-0.93834842,-0.93834842,18.29242078,18.66949468,37.52319008,-0.93834842,18.66949468,38.27733788,18.66949468,18.66949468,-1.75716439,17.85067871,-1.75716439,-1.75716439,55.93514331,57.06636501,17.85067871,57.06636501,57.06636501,57.06636501,-1.16270741,18.44513569,-1.16270741,-1.16270741,56.52960029,57.66082199,18.44513569,38.05297889,38.05297889,38.05297889,-2.52017345,-2.52017345,16.71059575,36.69551285,55.17213425,75.91119905,36.69551285,17.08766965,-2.52017345,36.69551285,-0.79072398,-0.79072398,-0.79072398,38.42496232,18.44004522,18.81711912,38.42496232,58.03280542,38.42496232,58.03280542,-2.43269231,-2.43269231,16.79807689,17.17515079,16.79807689,-2.43269231,17.17515079,-2.43269231,-2.43269231,17.17515079,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,18.17326543,57.38895173,18.17326543,57.38895173,-1.43457767,-0.13687782,-0.13687782,-0.13687782,19.47096528,19.09389138,19.47096528,-0.13687782,-0.13687782,19.47096528,19.47096528
0.0105,-4.9398567,-4.9398567,-4.9398567,14.6679864,-4.9398567,34.2758296,14.6679864,14.6679864,73.4915158,14.6679864,-0.93834842,-0.93834842,18.29242078,-0.93834842,18.29242078,57.88518098,38.27733788,116.7087104,77.49302408,77.49302408,-1.75716439,-1.75716439,-1.75716439,37.45852191,55.93514331,17.85067871,-1.75716439,37.45852191,57.06636501,17.85067871,-1.16270741,-1.16270741,37.29883109,38.05297889,18.06806179,38.05297889,57.66082199,18.44513569,57.66082199,57.66082199,-2.52017345,36.69551285,-2.52017345,36.69551285,16.71059575,17.08766965,36.69551285,17.08766965,17.08766965,-2.52017345,-0.79072398,-0.79072398,-0.79072398,-0.79072398,76.13235292,38.42496232,116.8563348,58.03280542,77.64064852,77.64064852,-2.43269231,-2.43269231,16.79807689,56.39083709,16.79807689,-2.43269231,17.17515079,56.39083709,-2.43269231,36.78299399,-1.43457767,-1.43457767,17.79619153,37.78110863,17.79619153,37.78110863,37.78110863,18.17326543,57.38895173,37.78110863,-0.13687782,-0.13687782,-0.13687782,19.47096528,38.32466068,39.07880848,19.47096528,39.07880848,78.29449468,78.29449468
0.0115,-4.9398567,-4.9398567,52.752451,14.6679864,33.5216818,53.8836727,14.6679864,-4.9398567,14.6679864,14.6679864,-0.93834842,-0.93834842,18.29242078,38.27733788,18.29242078,18.66949468,57.88518098,38.27733788,77.49302408,38.27733788,-1.75716439,-1.75716439,55.93514331,37.45852191,36.70437411,96.28205131,17.85067871,37.45852191,17.85067871,17.85067871,-1.16270741,18.44513569,37.29883109,57.66082199,37.29883109,57.66082199,116.4843514,77.26866509,38.05297889,77.26866509,-2.52017345,-2.52017345,16.71059575,36.69551285,16.71059575,75.91119905,-2.52017345,17.08766965,17.08766965,17.08766965,-0.79072398,-0.79072398,56.90158372,77.64064852,114.5938914,58.03280542,38.42496232,97.24849172,38.42496232,38.42496232,-2.43269231,17.17515079,16.79807689,36.78299399,-2.43269231,17.17515079,36.78299399,-2.43269231,-2.43269231,17.17515079,-1.43457767,-1.43457767,17.79619153,57.38895173,37.02696083,-1.43457767,18.17326543,76.99679483,76.99679483,76.99679483,-0.13687782,-0.13687782,-0.13687782,-0.13687782,19.09389138,19.47096528,19.47096528,97.90233788,19.47096528,78.29449468
0.0125,-4.9398567,-4.9398567,14.2909125,-4.9398567,-4.9398567,14.6679864,34.2758296,34.2758296,53.8836727,14.6679864,-0.93834842,-0.93834842,-0.93834842,38.27733788,114.446267,97.10086728,-0.93834842,57.88518098,18.66949468,57.88518098,-1.75716439,-1.75716439,17.47360481,57.06636501,36.70437411,37.45852191,96.28205131,-1.75716439,17.85067871,37.45852191,-1.16270741,-1.16270741,37.29883109,57.66082199,114.221908,18.44513569,38.05297889,38.05297889,18.44513569,38.05297889,17.08766965,-2.52017345,-2.52017345,-2.52017345,-2.52017345,17.08766965,36.69551285,17.08766965,17.08766965,56.30335595,-0.79072398,-0.79072398,18.44004522,38.42496232,95.36312222,38.42496232,38.42496232,18.81711912,38.42496232,18.81711912,-2.43269231,-2.43269231,-2.43269231,56.39083709,36.02884619,36.78299399,17.17515079,17.17515079,56.39083709,17.17515079,-1.43457767,-1.43457767,37.02696083,76.99679483,75.48849923,37.78110863,96.60463803,116.2124811,155.4281674,155.4281674,-0.13687782,-0.13687782,19.09389138,-0.13687782,38.32466068,19.47096528,-0.13687782,19.47096528,39.07880848,-0.13687782
0.0135,-4.9398567,14.6679864,110.4447587,34.2758296,14.2909125,-4.9398567,-4.9398567,14.6679864,14.6679864,14.6679864,-0.93834842,-0.93834842,75.98472848,57.88518098,-0.93834842,-0.93834842,-0.93834842,18.66949468,18.66949468,-0.93834842,-1.75716439,-1.75716439,17.47360481,76.67420811,17.47360481,37.45852191,-1.75716439,17.85067871,-1.75716439,-1.75716439,-1.16270741,18.44513569,37.29883109,57.66082199,37.29883109,38.05297889,18.44513569,18.44513569,18.44513569,-1.16270741,-2.52017345,56.30335595,74.40290345,17.08766965,93.63367275,56.30335595,56.30335595,36.69551285,36.69551285,75.91119905,-0.79072398,18.81711912,18.44004522,77.64064852,37.67081452,38.42496232,18.81711912,-0.79072398,-0.79072398,-0.79072398,-2.43269231,17.17515079,36.02884619,-2.43269231,-2.43269231,-2.43269231,17.17515079,36.78299399,-2.43269231,17.17515079,-1.43457767,-1.43457767,17.79619153,18.17326543,37.02696083,37.78110863,57.38895173,96.60463803,18.17326543,18.17326543,-0.13687782,-0.13687782,38.32466068,-0.13687782,19.09389138,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0145,-4.9398567,14.6679864,14.2909125,53.8836727,-4.9398567,14.6679864,-4.9398567,14.6679864,-4.9398567,-4.9398567,-0.93834842,-0.93834842,95.21549778,-0.93834842,-0.93834842,18.66949468,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,-1.75716439,-1.75716439,17.85067871,17.47360481,-1.75716439,17.85067871,-1.75716439,-1.75716439,17.85067871,-1.16270741,-1.16270741,37.29883109,18.44513569,-1.16270741,18.44513569,-1.16270741,18.44513569,-1.16270741,-1.16270741,-2.52017345,36.69551285,35.94136505,36.69551285,55.17213425,115.1268854,17.08766965,-2.52017345,56.30335595,36.69551285,-0.79072398,-0.79072398,18.44004522,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,36.02884619,36.78299399,55.25961539,17.17515079,56.39083709,17.17515079,-2.43269231,-2.43269231,-1.43457767,18.17326543,17.79619153,76.99679483,37.02696083,37.78110863,37.78110863,18.17326543,18.17326543,18.17326543,-0.13687782,-0.13687782,-0.13687782,19.47096528,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0155,-4.9398567,14.6679864,-4.9398567,14.6679864,14.2909125,-4.9398567,-4.9398567,14.6679864,-4.9398567,-4.9398567,-0.93834842,-0.93834842,18.29242078,38.27733788,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,17.85067871,-1.75716439,17.85067871,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,18.44513569,37.29883109,-1.16270741,-1.16270741,-1.16270741,18.44513569,18.44513569,38.05297889,18.44513569,-2.52017345,36.69551285,55.17213425,36.69551285,35.94136505,36.69551285,-2.52017345,-2.52017345,17.08766965,-2.52017345,-0.79072398,-0.79072398,-0.79072398,18.81711912,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,16.79807689,36.78299399,16.79807689,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-1.43457767,18.17326543,37.02696083,18.17326543,37.02696083,-1.43457767,18.17326543,18.17326543,-1.43457767,18.17326543,-0.13687782,-0.13687782,19.09389138,19.47096528,-0.13687782,-0.13687782,-0.13687782,-0.13687782,19.47096528,-0.13687782
0.0165,-4.9398567,-4.9398567,14.2909125,14.6679864,-4.9398567,-4.9398567,14.6679864,-4.9398567,-4.9398567,-4.9398567,-0.93834842,-0.93834842,-0.93834842,-0.93834842,18.29242078,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,17.08766965,55.17213425,56.30335595,16.71059575,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,18.81711912,-0.79072398,-0.79072398,18.81711912,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,36.78299399,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-1.43457767,-1.43457767,56.25773003,18.17326543,-1.43457767,-1.43457767,18.17326543,-1.43457767,18.17326543,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0175,14.6679864,34.2758296,-4.9398567,34.2758296,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,17.85067871,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,18.44513569,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,17.08766965,-2.52017345,17.08766965,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,36.78299399,17.17515079,36.02884619,-2.43269231,16.79807689,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-1.43457767,18.17326543,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
0.0185,-4.9398567,14.6679864,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,-4.9398567,18.66949468,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-0.93834842,-1.75716439,37.45852191,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.75716439,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-1.16270741,-2.52017345,-2.52017345,-2.52017345,-2.52017345,16.71059575,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-2.52017345,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,-0.79072398,17.17515079,17.17515079,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-2.43269231,-1.43457767,-1.43457767,-1.43457767,18.17326543,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-1.43457767,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782,-0.13687782
