,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10
0.0005,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-0.57,-0.57,-0.57,-0.57,19.43,-0.57,-0.57,-0.57,-0.57,-0.57,18.21,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28
0.0015,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,38.21,-1.79,-1.79,-0.65,19.35,19.35,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,18.36,18.36,-1.64,-1.64,-1.64,18.36,-1.64,-1.64,-1.64,-1.64,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,19.72,-0.28
0.0025,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,18.42,-1.58,-0.57,-0.57,-0.57,-0.57,19.43,-0.57,-0.57,-0.57,-0.57,-0.57,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28
0.0035,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,18.36,-1.64,-1.64,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28
0.0045,-1.58,-1.58,-1.58,-1.58,-1.58,18.42,-1.58,-1.58,18.42,-1.58,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,18.36,-1.64,-1.64,-1.64,-0.28,19.72,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28
0.0055,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,18.42,-1.58,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-1.79,-1.79,-1.79,-1.79,-1.79,18.21,-1.79,18.21,-1.79,-1.79,-0.65,19.35,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,19.35,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28
0.0065,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,18.42,-1.58,18.42,-1.58,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-1.79,-1.79,-1.79,-1.79,-1.79,18.21,-1.79,-1.79,-1.79,-1.79,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-1.64,-1.64,-1.64,-1.64,18.36,-1.64,18.36,-1.64,-1.64,-1.64,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28
0.0075,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,18.42,-1.58,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,58.21,18.21,-0.65,19.35,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28
0.0085,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,18.42,-1.58,-1.58,-1.58,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,-1.79,18.21,-1.79,18.21,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,19.35,-0.65,-0.65,-0.65,-1.64,-1.64,-1.64,-1.64,18.36,-1.64,-1.64,-1.64,-1.64,-1.64,-0.28,-0.28,-0.28,-0.28,19.72,-0.28,-0.28,-0.28,-0.28,-0.28
0.0095,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,-1.58,38.42,18.42,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,-1.79,18.21,-1.79,-1.79,-1.79,-1.79,18.21,-1.79,38.21,58.21,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,19.35,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,-1.64,18.36,18.36,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28
