,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10
0.0005,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-1.21,-1.21,-1.21,18.79,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
0.0015,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
0.0025,-0.82,-0.82,-0.82,-0.82,-0.82,19.18,-0.82,-0.82,-0.82,-0.82,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,18.79,-1.21,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
0.0035,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,19.18,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,18.79,-1.21,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
0.0045,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,19.18,19.18,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,18.79,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
0.0055,19.18,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
0.0065,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,19.18,-0.82,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,38.79,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,19.3,-0.7
0.0075,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,19.18,-0.82,19.18,19.18,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,18.79,-1.21,38.79,18.79,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,19.3
0.0085,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,19.18,-0.82,19.18,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,18.79,18.79,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
0.0095,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,19.18,39.18,19.18,79.18,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,19.57,19.57,19.57,-0.43,-1.21,-1.21,-1.21,-1.21,-1.21,18.79,18.79,78.79,158.79,158.79,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,19.3,39.3,79.3
0.0105,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,19.18,-0.82,39.18,-0.82,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-1.21,-1.21,-1.21,-1.21,-1.21,18.79,-1.21,38.79,78.79,118.79,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,19.3,19.3,19.3
0.0115,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82,19.18,99.18,59.18,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,19.57,39.57,-0.43,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,18.79,78.79,38.79,-1.21,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,19.3,-0.7,119.3
0.0125,-0.82,-0.82,-0.82,-0.82,-0.82,19.18,19.18,79.18,99.18,119.18,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-1.21,-1.21,-1.21,-1.21,-1.21,38.79,38.79,98.79,58.79,198.79,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,39.3,-0.7,79.3,79.3
0.0135,-0.82,-0.82,-0.82,19.18,-0.82,79.18,139.18,79.18,59.18,119.18,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,19.57,19.57,19.57,-1.21,-1.21,-1.21,-1.21,58.79,18.79,58.79,-1.21,98.79,98.79,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,139.3,39.3,19.3
0.0145,-0.82,19.18,-0.82,-0.82,-0.82,-0.82,39.18,59.18,39.18,59.18,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,19.57,-0.43,-1.21,-1.21,-1.21,18.79,-1.21,18.79,58.79,98.79,78.79,58.79,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,39.3,-0.7,39.3,99.3
0.0155,-0.82,-0.82,-0.82,-0.82,19.18,19.18,-0.82,119.18,39.18,59.18,-0.43,-0.43,-0.43,-0.43,-0.43,19.57,39.57,39.57,-0.43,-0.43,-1.21,-1.21,-1.21,-1.21,38.79,38.79,98.79,38.79,118.79,38.79,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,19.3,-0.7,19.3
0.0165,-0.82,-0.82,-0.82,-0.82,19.18,99.18,39.18,39.18,19.18,39.18,-0.43,-0.43,-0.43,-0.43,19.57,-0.43,-0.43,-0.43,-0.43,-0.43,-1.21,18.79,-1.21,-1.21,18.79,58.79,38.79,38.79,18.79,58.79,-0.7,-0.7,-0.7,19.3,39.3,-0.7,-0.7,39.3,-0.7,-0.7
0.0175,-0.82,-0.82,-0.82,-0.82,-0.82,19.18,39.18,39.18,-0.82,-0.82,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-1.21,-1.21,18.79,18.79,38.79,18.79,58.79,18.79,-1.21,-1.21,-0.7,-0.7,-0.7,-0.7,-0.7,19.3,59.3,-0.7,-0.7,-0.7
0.0185,-0.82,-0.82,-0.82,-0.82,-0.82,19.18,-0.82,-0.82,-0.82,39.18,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,-0.43,18.79,-1.21,-1.21,-1.21,-1.21,38.79,18.79,-1.21,-1.21,18.79,-0.7,-0.7,-0.7,-0.7,19.3,19.3,19.3,-0.7,39.3,-0.7
