,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10
0.0005,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,18.8398039,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882
0.0015,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,18.86941173,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882
0.0025,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.54176471,-0.54176471,19.06607839,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882
0.0035,-0.63019608,18.97764702,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882
0.0045,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882
0.0055,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,19.06607839,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882
0.0065,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.54176471,-0.54176471,-0.54176471,19.06607839,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,18.8398039,-0.7680392,-0.7680392,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882
0.0075,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,19.36980392,-0.63019608,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.73843137,-0.73843137,-0.73843137,18.86941173,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882
0.0085,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,39.36980392,-0.63019608,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,18.86941173,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,-0.73843137,18.86941173,-0.73843137,38.47725493,-0.7680392,-0.7680392,38.4476471,18.8398039,-0.7680392,38.4476471,-0.7680392,-0.7680392,19.2319608,18.8398039,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882
0.0095,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,-0.63019608,18.97764702,-0.63019608,-0.63019608,-0.63019608,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,-0.54176471,39.45823529,19.06607839,-0.73843137,-0.73843137,18.86941173,-0.73843137,-0.73843137,-0.73843137,18.86941173,18.86941173,-0.73843137,-0.73843137,-0.7680392,-0.7680392,-0.7680392,-0.7680392,-0.7680392,38.4476471,-0.7680392,-0.7680392,-0.7680392,38.4476471,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882,-0.20705882
