,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f07_stimulus_6,f07_stimulus_7,f07_stimulus_8,f07_stimulus_9,f07_stimulus_10
0.0005,-12.45333334,-12.45333334,7.54666666,7.15450976,7.54666666,7.54666666,-12.45333334,7.54666666,-12.45333334,-12.45333334,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-11.13392157,-11.13392157,8.86607843,-11.13392157,8.86607843,8.86607843,-11.13392157,8.86607843,-11.13392157,-11.13392157,-2.05509804,-2.05509804,37.94490196,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.14470589,-2.14470589,-2.14470589,17.46313721,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,18.9427451
0.0015,7.54666666,-12.45333334,7.54666666,-12.45333334,-12.45333334,-12.45333334,-12.45333334,27.54666666,7.54666666,27.54666666,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,28.86607843,-11.13392157,8.86607843,-11.13392157,-11.13392157,-11.13392157,28.86607843,-11.13392157,-11.13392157,-11.13392157,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,17.85529411,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,18.9427451,-1.0572549,-1.0572549,-1.0572549,-1.0572549
0.0025,7.54666666,-12.45333334,7.54666666,7.15450976,27.54666666,-12.45333334,7.54666666,-12.45333334,27.54666666,7.54666666,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-11.13392157,-11.13392157,8.86607843,-11.13392157,8.86607843,-11.13392157,-11.13392157,28.86607843,-11.13392157,28.86607843,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549
0.0035,27.54666666,-12.45333334,27.54666666,26.76235296,-12.45333334,-12.45333334,7.54666666,-12.45333334,-12.45333334,-12.45333334,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,18.54372549,18.54372549,-1.45627451,-1.45627451,38.54372549,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-11.13392157,-11.13392157,-11.13392157,-11.13392157,-11.13392157,-11.13392157,8.86607843,-11.13392157,-11.13392157,-11.13392157,-2.05509804,17.55274506,-2.05509804,-2.05509804,-2.05509804,17.94490196,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-1.0572549,-1.0572549,18.9427451,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549
0.0045,-12.45333334,-12.45333334,7.54666666,-12.45333334,-12.45333334,-12.45333334,-12.45333334,7.54666666,-12.45333334,7.54666666,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,18.54372549,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,28.86607843,-11.13392157,28.86607843,-11.13392157,8.86607843,-11.13392157,8.86607843,8.86607843,-11.13392157,-11.13392157,17.94490196,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549
0.0055,-12.45333334,-12.45333334,-12.45333334,7.15450976,7.54666666,-12.45333334,7.54666666,27.54666666,-12.45333334,47.54666666,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.45627451,-1.03588236,-1.03588236,-1.03588236,-1.03588236,18.96411764,-1.03588236,-1.03588236,-1.03588236,18.96411764,-1.03588236,8.86607843,-11.13392157,-11.13392157,-11.13392157,-11.13392157,-11.13392157,-11.13392157,28.86607843,-11.13392157,-11.13392157,17.94490196,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,-2.05509804,17.94490196,37.94490196,-2.14470589,-2.14470589,-2.14470589,17.46313721,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-2.14470589,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549,-1.0572549
0.0065,-12.45333334,26.76235296,47.54666666,46.37019606,87.54666666,87.54666666,147.5466667,107.5466667,187.5466667,307.5466667,-1.45627451,-1.45627451,38.54372549,37.75941179,-1.45627451,18.54372549,18.54372549,38.54372549,18.54372549,38.54372549,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,18.96411764,8.86607843,-11.13392157,88.86607843,67.29745093,48.86607843,48.86607843,48.86607843,28.86607843,8.86607843,28.86607843,17.94490196,-2.05509804,-2.05509804,37.16058826,77.94490196,37.94490196,57.94490196,57.94490196,97.94490196,-2.05509804,-2.14470589,-2.14470589,-2.14470589,-2.14470589,17.85529411,17.85529411,17.85529411,17.85529411,97.85529411,17.85529411,18.9427451,-1.0572549,18.9427451,-1.0572549,38.9427451,58.9427451,98.9427451,78.9427451,18.9427451,-1.0572549
0.0075,67.54666666,105.1937255,147.5466667,46.37019606,67.54666666,47.54666666,87.54666666,167.5466667,87.54666666,147.5466667,18.54372549,18.15156859,18.54372549,18.15156859,38.54372549,-1.45627451,-1.45627451,-1.45627451,58.54372549,-1.45627451,18.96411764,18.57196074,-1.03588236,18.57196074,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,8.86607843,28.08176473,68.86607843,47.68960783,8.86607843,48.86607843,-11.13392157,-11.13392157,28.86607843,8.86607843,-2.05509804,17.55274506,37.94490196,37.16058826,37.94490196,57.94490196,137.944902,37.94490196,37.94490196,37.94490196,-2.14470589,-2.14470589,37.85529411,56.67882351,37.85529411,-2.14470589,-2.14470589,37.85529411,77.85529411,-2.14470589,38.9427451,-1.0572549,38.9427451,38.1584314,18.9427451,38.9427451,18.9427451,38.9427451,18.9427451,18.9427451
0.0085,227.5466667,124.8015687,67.54666666,144.4094118,167.5466667,167.5466667,127.5466667,87.54666666,67.54666666,227.5466667,18.54372549,-1.45627451,18.54372549,18.15156859,-1.45627451,-1.45627451,-1.45627451,-1.45627451,18.54372549,18.54372549,18.96411764,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,18.96411764,18.96411764,-1.03588236,8.86607843,8.47392153,28.86607843,67.29745093,108.8660784,28.86607843,8.86607843,28.86607843,8.86607843,8.86607843,37.94490196,-2.05509804,17.94490196,37.16058826,77.94490196,-2.05509804,17.94490196,77.94490196,97.94490196,17.94490196,-2.14470589,-2.14470589,17.85529411,17.46313721,57.85529411,57.85529411,17.85529411,57.85529411,57.85529411,-2.14470589,38.9427451,38.1584314,38.9427451,57.7662745,-1.0572549,78.9427451,18.9427451,38.9427451,38.9427451,58.9427451
0.0095,107.5466667,164.0172549,127.5466667,262.0564706,127.5466667,147.5466667,147.5466667,147.5466667,187.5466667,107.5466667,-1.45627451,18.15156859,38.54372549,-1.45627451,18.54372549,18.54372549,18.54372549,-1.45627451,-1.45627451,-1.45627451,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,-1.03588236,18.96411764,-1.03588236,18.96411764,68.86607843,47.68960783,28.86607843,47.68960783,-11.13392157,28.86607843,48.86607843,28.86607843,48.86607843,8.86607843,97.94490196,95.98411766,97.94490196,56.76843136,37.94490196,97.94490196,137.944902,17.94490196,77.94490196,57.94490196,-2.14470589,-2.14470589,-2.14470589,-2.14470589,37.85529411,57.85529411,37.85529411,57.85529411,77.85529411,117.8552941,-1.0572549,57.7662745,78.9427451,57.7662745,18.9427451,-1.0572549,38.9427451,78.9427451,18.9427451,18.9427451
