,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10
0.0005,17.79306123,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,19.87612248,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082
0.0015,-2.20693877,-2.20693877,17.79306123,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,19.37795918,-0.62204082
0.0025,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,17.79306123,-2.20693877,-2.20693877,18.20122453,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082
0.0035,-2.20693877,-2.20693877,17.79306123,-2.20693877,-2.20693877,-2.20693877,-2.20693877,17.79306123,17.79306123,-2.20693877,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,19.37795918,-0.62204082
0.0045,-2.20693877,-2.20693877,-2.20693877,-2.20693877,37.79306123,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,19.37795918,-0.62204082,-0.62204082,-0.62204082,19.37795918,-0.62204082
0.0055,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082
0.0065,-2.20693877,-2.20693877,-2.20693877,-2.20693877,77.79306123,157.7930612,-2.20693877,77.79306123,57.79306123,38.60938773,-0.53204082,-0.53204082,-0.53204082,19.87612248,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.62204082,-0.62204082,-0.62204082,-0.62204082,19.37795918,59.37795918,99.37795918,39.37795918,39.37795918,60.60244898
0.0075,-2.20693877,17.79306123,37.79306123,59.01755103,97.79306123,77.79306123,77.79306123,17.79306123,17.79306123,59.01755103,-0.53204082,-0.53204082,-0.53204082,-0.53204082,19.46795918,19.46795918,19.46795918,19.46795918,19.46795918,19.87612248,-0.62204082,-0.62204082,19.37795918,40.19428568,99.37795918,139.3779592,259.3779592,219.3779592,199.3779592,121.8269388
0.0085,17.79306123,37.79306123,57.79306123,79.42571433,17.79306123,77.79306123,-2.20693877,17.79306123,37.79306123,-2.20693877,-0.53204082,-0.53204082,-0.53204082,-0.53204082,39.46795918,59.46795918,79.46795918,59.46795918,99.46795918,101.5087755,-0.62204082,119.3779592,79.37795918,142.2351021,99.37795918,59.37795918,139.3779592,19.37795918,199.3779592,121.8269388
0.0095,17.79306123,37.79306123,-2.20693877,-2.20693877,37.79306123,17.79306123,17.79306123,37.79306123,17.79306123,-2.20693877,-0.53204082,19.46795918,159.4679592,60.69244898,199.4679592,119.4679592,159.4679592,159.4679592,159.4679592,81.10061228,79.37795918,-0.62204082,219.3779592,101.4187755,99.37795918,119.3779592,99.37795918,99.37795918,39.37795918,60.60244898
0.0105,57.79306123,97.79306123,37.79306123,38.60938773,-2.20693877,37.79306123,17.79306123,77.79306123,-2.20693877,38.60938773,39.46795918,119.4679592,139.4679592,81.10061228,159.4679592,159.4679592,199.4679592,99.46795918,119.4679592,162.7332653,99.37795918,79.37795918,219.3779592,162.6432653,139.3779592,119.3779592,79.37795918,119.3779592,119.3779592,264.6840816
0.0115,17.79306123,37.79306123,17.79306123,18.20122453,57.79306123,37.79306123,157.7930612,57.79306123,97.79306123,38.60938773,19.46795918,119.4679592,119.4679592,162.7332653,119.4679592,139.4679592,59.46795918,59.46795918,59.46795918,101.5087755,59.37795918,99.37795918,199.3779592,142.2351021,179.3779592,139.3779592,79.37795918,159.3779592,179.3779592,40.19428568
0.0125,57.79306123,97.79306123,17.79306123,18.20122453,17.79306123,17.79306123,97.79306123,37.79306123,57.79306123,18.20122453,119.4679592,119.4679592,59.46795918,162.7332653,99.46795918,119.4679592,159.4679592,119.4679592,79.46795918,121.9169388,139.3779592,139.3779592,159.3779592,142.2351021,159.3779592,219.3779592,99.37795918,119.3779592,159.3779592,142.2351021
0.0135,77.79306123,-2.20693877,77.79306123,18.20122453,77.79306123,77.79306123,117.7930612,57.79306123,97.79306123,59.01755103,139.4679592,59.46795918,259.4679592,203.5495919,199.4679592,79.46795918,99.46795918,179.4679592,59.46795918,60.69244898,79.37795918,199.3779592,199.3779592,101.4187755,259.3779592,199.3779592,119.3779592,99.37795918,199.3779592,81.01061228
0.0145,37.79306123,17.79306123,17.79306123,18.20122453,77.79306123,97.79306123,37.79306123,-2.20693877,37.79306123,18.20122453,119.4679592,159.4679592,79.46795918,121.9169388,79.46795918,99.46795918,99.46795918,-0.53204082,19.46795918,40.28428568,179.3779592,79.37795918,79.37795918,81.01061228,79.37795918,179.3779592,199.3779592,59.37795918,-0.62204082,-0.62204082
0.0155,37.79306123,17.79306123,77.79306123,79.42571433,17.79306123,17.79306123,17.79306123,17.79306123,77.79306123,79.42571433,139.4679592,179.4679592,19.46795918,60.69244898,39.46795918,19.46795918,19.46795918,-0.53204082,59.46795918,-0.53204082,119.3779592,259.3779592,79.37795918,244.2759184,119.3779592,39.37795918,19.37795918,39.37795918,19.37795918,40.19428568
0.0165,97.79306123,37.79306123,57.79306123,59.01755103,37.79306123,57.79306123,-2.20693877,37.79306123,-2.20693877,59.01755103,119.4679592,19.46795918,-0.53204082,19.87612248,39.46795918,39.46795918,39.46795918,19.46795918,-0.53204082,40.28428568,199.3779592,99.37795918,79.37795918,60.60244898,59.37795918,19.37795918,59.37795918,79.37795918,-0.62204082,81.01061228
0.0175,37.79306123,37.79306123,77.79306123,18.20122453,37.79306123,37.79306123,17.79306123,37.79306123,117.7930612,18.20122453,59.46795918,59.46795918,19.46795918,-0.53204082,19.46795918,-0.53204082,19.46795918,19.46795918,19.46795918,-0.53204082,59.37795918,99.37795918,19.37795918,40.19428568,79.37795918,39.37795918,19.37795918,-0.62204082,39.37795918,40.19428568
0.0185,157.7930612,17.79306123,37.79306123,-2.20693877,17.79306123,-2.20693877,17.79306123,37.79306123,17.79306123,18.20122453,79.46795918,19.46795918,19.46795918,19.87612248,19.46795918,19.46795918,-0.53204082,-0.53204082,-0.53204082,-0.53204082,59.37795918,39.37795918,59.37795918,19.78612248,-0.62204082,19.37795918,59.37795918,39.37795918,19.37795918,19.78612248
0.0195,77.79306123,57.79306123,17.79306123,18.20122453,57.79306123,37.79306123,-2.20693877,77.79306123,17.79306123,-2.20693877,19.46795918,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,39.37795918,-0.62204082,39.37795918,-0.62204082,19.37795918,19.37795918,19.37795918,-0.62204082,-0.62204082,-0.62204082
0.0205,17.79306123,-2.20693877,17.79306123,18.20122453,37.79306123,17.79306123,-2.20693877,17.79306123,-2.20693877,18.20122453,19.46795918,19.46795918,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,19.46795918,-0.53204082,19.37795918,19.37795918,19.37795918,-0.62204082,-0.62204082,-0.62204082,-0.62204082,39.37795918,-0.62204082,19.78612248
0.0215,17.79306123,-2.20693877,17.79306123,-2.20693877,-2.20693877,17.79306123,-2.20693877,17.79306123,-2.20693877,18.20122453,-0.53204082,39.46795918,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,39.37795918,39.37795918,-0.62204082,-0.62204082,-0.62204082,19.37795918,19.37795918,-0.62204082,-0.62204082,-0.62204082
0.0225,-2.20693877,37.79306123,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-2.20693877,-0.53204082,19.46795918,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,-0.53204082,39.37795918,-0.62204082,-0.62204082,19.78612248,-0.62204082,-0.62204082,-0.62204082,19.37795918,19.37795918,19.78612248
