,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10
0.0005,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778
0.0015,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778
0.0025,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778
0.0035,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,18.61708142,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778
0.0045,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,19.08239061,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778
0.0055,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,19.08239061,-0.52545249,19.08239061,-0.52545249,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,38.60199852,18.61708142
0.0065,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,19.08239061,-0.52545249,19.08239061,37.93608601,-0.61368778,-0.61368778,18.61708142,-0.61368778,-0.61368778,-0.61368778,-0.61368778,-0.61368778,18.99415532,-0.61368778
0.0075,-0.52545249,-0.52545249,-0.52545249,-0.52545249,-0.52545249,19.08239061,-0.52545249,-0.52545249,-0.52545249,57.16685521,-0.61368778,-0.61368778,-0.61368778,18.99415532,38.60199852,-0.61368778,-0.61368778,-0.61368778,-0.61368778,37.84785072
0.0085,-0.52545249,-0.52545249,-0.52545249,-0.52545249,19.08239061,-0.52545249,19.08239061,58.29807691,77.90592001,95.62839371,-0.61368778,-0.61368778,-0.61368778,58.20984162,-0.61368778,38.60199852,58.20984162,-0.61368778,38.60199852,57.07861992
0.0095,-0.52545249,-0.52545249,37.93608601,-0.52545249,77.90592001,77.90592001,58.29807691,58.29807691,38.69023381,114.8591629,-0.61368778,-0.61368778,18.61708142,18.99415532,58.20984162,-0.61368778,77.81768472,18.99415532,18.99415532,114.7709276
