,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10
0.0005,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-4.56196078,-4.56196078,-4.56196078,15.43803922,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0015,-1.23607843,-1.23607843,18.76392157,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-4.56196078,-4.56196078,15.43803922,-4.56196078,-4.56196078,-4.56196078,15.43803922,15.43803922,-4.56196078,15.43803922,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0025,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-4.56196078,-4.56196078,15.43803922,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0035,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,15.43803922,-4.56196078,-4.56196078,-4.56196078,-4.56196078,15.04588232,15.43803922,-4.56196078,-4.56196078,-4.56196078,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0045,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,15.43803922,-4.56196078,-4.56196078,-4.56196078,15.43803922,15.04588232,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0055,-1.23607843,-1.23607843,-1.23607843,-1.23607843,18.76392157,-1.23607843,-1.23607843,18.76392157,37.97960787,-1.23607843,-0.7282353,-0.7282353,-0.7282353,-0.7282353,19.2717647,38.487451,-0.7282353,19.2717647,-0.7282353,19.2717647,-4.56196078,15.43803922,-4.56196078,-4.56196078,-4.56196078,15.04588232,-4.56196078,-4.56196078,15.04588232,-4.56196078,-0.08921569,-0.08921569,-0.08921569,-0.08921569,19.91078431,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0065,-1.23607843,18.76392157,38.76392157,58.76392157,38.76392157,96.80313727,78.76392157,98.76392157,57.58745097,78.76392157,-0.7282353,-0.7282353,59.2717647,99.2717647,19.2717647,116.9188235,19.2717647,99.2717647,77.7031372,139.2717647,-4.56196078,-4.56196078,15.43803922,75.43803922,155.4380392,132.6929412,95.43803922,55.43803922,73.86941172,75.43803922,-0.08921569,-0.08921569,-0.08921569,19.91078431,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0075,-1.23607843,38.76392157,38.76392157,118.7639216,118.7639216,57.58745097,58.76392157,98.76392157,116.4109804,98.76392157,-0.7282353,79.2717647,59.2717647,99.2717647,159.2717647,77.7031372,179.2717647,39.2717647,116.9188235,59.2717647,-4.56196078,55.43803922,15.43803922,15.43803922,35.43803922,34.65372552,15.43803922,55.43803922,34.65372552,35.43803922,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,19.51862741,-0.08921569,-0.08921569,19.51862741,19.91078431
0.0085,-1.23607843,58.76392157,58.76392157,138.7639216,278.7639216,116.4109804,178.7639216,218.7639216,155.6266667,198.7639216,-0.7282353,19.2717647,99.2717647,139.2717647,59.2717647,136.5266667,39.2717647,99.2717647,77.7031372,99.2717647,-4.56196078,55.43803922,95.43803922,15.43803922,15.43803922,54.26156862,35.43803922,35.43803922,34.65372552,15.43803922,-0.08921569,-0.08921569,-0.08921569,79.91078431,99.91078431,137.1656863,39.91078431,19.91078431,19.51862741,-0.08921569
0.0095,58.76392157,118.7639216,278.7639216,218.7639216,178.7639216,194.842353,178.7639216,178.7639216,116.4109804,118.7639216,19.2717647,139.2717647,19.2717647,39.2717647,59.2717647,97.3109804,79.2717647,59.2717647,77.7031372,79.2717647,55.43803922,95.43803922,15.43803922,35.43803922,35.43803922,-4.56196078,135.4380392,95.43803922,54.26156862,15.43803922,-0.08921569,19.91078431,139.9107843,99.91078431,39.91078431,19.51862741,79.91078431,19.91078431,19.51862741,99.91078431
0.0105,38.76392157,98.76392157,118.7639216,58.76392157,178.7639216,116.4109804,178.7639216,98.76392157,77.19529407,138.7639216,19.2717647,79.2717647,59.2717647,159.2717647,39.2717647,97.3109804,19.2717647,19.2717647,58.0952941,59.2717647,-4.56196078,15.43803922,75.43803922,95.43803922,35.43803922,34.65372552,35.43803922,15.43803922,73.86941172,95.43803922,-0.08921569,19.91078431,19.91078431,-0.08921569,19.91078431,19.51862741,19.91078431,-0.08921569,19.51862741,19.91078431
0.0115,58.76392157,138.7639216,98.76392157,58.76392157,38.76392157,77.19529407,118.7639216,78.76392157,37.97960787,38.76392157,59.2717647,119.2717647,99.2717647,59.2717647,59.2717647,38.487451,79.2717647,139.2717647,116.9188235,79.2717647,75.43803922,95.43803922,55.43803922,55.43803922,75.43803922,54.26156862,55.43803922,35.43803922,-4.56196078,55.43803922,-0.08921569,-0.08921569,-0.08921569,-0.08921569,19.91078431,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0125,58.76392157,18.76392157,38.76392157,38.76392157,38.76392157,-1.23607843,58.76392157,18.76392157,18.37176467,-1.23607843,19.2717647,39.2717647,39.2717647,59.2717647,-0.7282353,77.7031372,39.2717647,79.2717647,116.9188235,99.2717647,75.43803922,-4.56196078,15.43803922,15.43803922,35.43803922,34.65372552,55.43803922,35.43803922,34.65372552,15.43803922,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0135,-1.23607843,-1.23607843,58.76392157,38.76392157,18.76392157,18.37176467,38.76392157,18.76392157,-1.23607843,-1.23607843,59.2717647,19.2717647,39.2717647,59.2717647,79.2717647,38.487451,79.2717647,39.2717647,58.0952941,59.2717647,135.4380392,35.43803922,15.43803922,-4.56196078,35.43803922,54.26156862,75.43803922,15.43803922,73.86941172,35.43803922,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,19.91078431
0.0145,-1.23607843,-1.23607843,18.76392157,-1.23607843,38.76392157,-1.23607843,-1.23607843,18.76392157,-1.23607843,-1.23607843,-0.7282353,-0.7282353,59.2717647,19.2717647,19.2717647,18.8796078,-0.7282353,-0.7282353,-0.7282353,19.2717647,35.43803922,15.43803922,15.43803922,55.43803922,35.43803922,-4.56196078,15.43803922,-4.56196078,15.04588232,-4.56196078,-0.08921569,-0.08921569,19.91078431,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0155,-1.23607843,-1.23607843,18.76392157,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,19.2717647,19.2717647,-0.7282353,-0.7282353,-0.7282353,18.8796078,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-4.56196078,15.43803922,35.43803922,15.43803922,-4.56196078,-4.56196078,-4.56196078,15.43803922,15.04588232,-4.56196078,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0165,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-0.7282353,-0.7282353,-0.7282353,-0.7282353,19.2717647,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,15.43803922,-4.56196078,15.43803922,15.43803922,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0175,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,19.2717647,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,35.43803922,15.43803922,15.43803922,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0185,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,19.2717647,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-4.56196078,15.43803922,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0195,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,19.2717647,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,15.43803922,-4.56196078,15.43803922,-4.56196078,-4.56196078,-4.56196078,15.43803922,-4.56196078,-4.56196078,-4.56196078,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0205,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-4.56196078,-4.56196078,15.43803922,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,15.43803922,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0215,-1.23607843,18.76392157,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,35.43803922,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0225,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,19.2717647,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,15.43803922,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0235,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,15.43803922,15.43803922,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0245,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,15.43803922,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0255,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-4.56196078,-4.56196078,15.43803922,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,15.43803922,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
0.0265,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-1.23607843,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,-0.7282353,35.43803922,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-4.56196078,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569,-0.08921569
