,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10
0.0005,-0.83979591,19.16020409,-0.83979591,-0.83979591,19.56836739,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,54.31224491,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,13.49591841,-6.91224489,-6.91224489
0.0015,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,19.16020409,-0.83979591,-0.83979591,-0.83979591,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,19.25571431,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,13.49591841,13.08775511,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,13.08775511,13.08775511
0.0025,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.93000001,19.06999999,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-6.91224489,13.08775511,-6.91224489,-6.91224489,13.49591841,13.49591841,-6.91224489,13.49591841,-6.91224489,-6.91224489
0.0035,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-1.15244899,-1.15244899,-1.15244899,-1.15244899,19.25571431,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-6.91224489,-6.91224489,13.08775511,-6.91224489,-6.91224489,-6.91224489,33.08775511,-6.91224489,-6.91224489,13.08775511
0.0045,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-0.83979591,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,18.75734694,-1.24265306,-1.24265306,-1.24265306,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-0.93000001,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-1.15244899,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489
0.0055,-0.83979591,-0.83979591,-0.83979591,19.56836739,19.56836739,19.56836739,39.16020409,60.38469389,19.16020409,-0.83979591,-1.24265306,-1.24265306,58.75734694,19.16551024,-1.24265306,-1.24265306,18.75734694,-1.24265306,-1.24265306,-1.24265306,-0.35408162,-0.35408162,19.64591838,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.35408162,19.64591838,19.47816329,19.06999999,19.06999999,-0.93000001,60.29448979,39.88632649,39.06999999,39.88632649,59.06999999,39.06999999,-1.15244899,-1.15244899,-1.15244899,19.25571431,19.25571431,-1.15244899,18.84755101,19.25571431,-1.15244899,-1.15244899,-6.91224489,13.08775511,13.08775511,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,13.08775511,-6.91224489
0.0065,-0.83979591,119.1602041,-0.83979591,60.38469389,80.79285719,39.97653059,119.1602041,101.2010204,59.16020409,39.16020409,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,19.16551024,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-0.35408162,19.64591838,-0.35408162,20.05408168,20.05408168,20.05408168,-0.35408162,-0.35408162,-0.35408162,-0.35408162,-0.93000001,179.07,199.07,141.9271429,80.70265309,264.3761224,139.07,162.3353061,79.06999999,179.07,-1.15244899,-1.15244899,38.84755101,-1.15244899,-1.15244899,19.25571431,18.84755101,-1.15244899,-1.15244899,18.84755101,-6.91224489,73.08775511,13.08775511,-6.91224489,13.49591841,13.49591841,13.08775511,-6.91224489,-6.91224489,33.08775511
0.0075,60.38469389,59.16020409,39.16020409,39.97653059,39.97653059,101.2010204,59.16020409,101.2010204,79.16020409,19.16020409,-1.24265306,-1.24265306,-1.24265306,-1.24265306,-1.24265306,39.57367344,-1.24265306,-1.24265306,18.75734694,-1.24265306,-0.35408162,39.64591838,19.64591838,40.46224488,60.87040818,60.87040818,19.64591838,-0.35408162,19.64591838,19.64591838,60.29448979,59.06999999,99.06999999,101.1108163,121.5189796,19.47816329,179.07,121.5189796,119.07,79.06999999,-1.15244899,38.84755101,38.84755101,-1.15244899,19.25571431,-1.15244899,-1.15244899,-1.15244899,-1.15244899,18.84755101,-6.91224489,33.08775511,13.08775511,-6.91224489,-6.91224489,-6.91224489,-6.91224489,-6.91224489,13.08775511,-6.91224489
0.0085,80.79285719,19.16020409,59.16020409,60.38469389,80.79285719,80.79285719,79.16020409,60.38469389,79.16020409,99.16020409,-1.24265306,-1.24265306,-1.24265306,-1.24265306,39.57367344,39.57367344,-1.24265306,-1.24265306,18.75734694,-1.24265306,-0.35408162,59.64591838,19.64591838,40.46224488,81.27857148,40.46224488,19.64591838,-0.35408162,19.64591838,59.64591838,141.9271429,39.06999999,79.06999999,182.7434694,141.9271429,80.70265309,79.06999999,223.5597959,59.06999999,59.06999999,-1.15244899,18.84755101,-1.15244899,19.25571431,-1.15244899,-1.15244899,-1.15244899,39.66387751,-1.15244899,18.84755101,74.72040821,13.08775511,13.08775511,13.49591841,-6.91224489,33.90408161,13.08775511,13.49591841,-6.91224489,33.08775511
0.0095,162.4255102,59.16020409,59.16020409,80.79285719,60.38469389,39.97653059,19.16020409,80.79285719,19.16020409,39.16020409,19.16551024,-1.24265306,58.75734694,59.98183674,39.57367344,19.16551024,18.75734694,39.57367344,78.75734694,38.75734694,20.05408168,59.64591838,39.64591838,40.46224488,81.27857148,40.46224488,79.64591838,40.46224488,59.64591838,39.64591838,80.70265309,79.06999999,159.07,101.1108163,80.70265309,19.47816329,99.06999999,39.88632649,19.06999999,59.06999999,19.25571431,-1.15244899,18.84755101,-1.15244899,39.66387751,-1.15244899,58.84755101,60.07204081,18.84755101,18.84755101,-6.91224489,53.08775511,13.08775511,33.90408161,33.90408161,33.90408161,53.08775511,33.90408161,73.08775511,73.08775511
