,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10
0.0005,-1.76176471,-1.76176471,-1.76176471,-1.76176471,-1.76176471,17.84607839,18.23823529,-1.76176471,-1.76176471,-1.76176471,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-2.52941176,-2.52941176,-2.52941176,17.47058824,-2.52941176,-2.52941176,-2.52941176,-2.52941176,-2.52941176,-2.52941176,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,19.30294118,-3.63960784,-3.63960784,15.96823526,-3.63960784,-3.63960784,-3.63960784,-3.63960784,-3.63960784,-3.63960784,-3.63960784
0.0015,-1.76176471,-1.76176471,-1.76176471,-1.76176471,-1.76176471,-1.76176471,-1.76176471,-1.76176471,18.23823529,18.23823529,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-2.52941176,-2.52941176,-2.52941176,-2.52941176,-2.52941176,17.07843134,-2.52941176,17.47058824,17.47058824,-2.52941176,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-3.63960784,-3.63960784,-3.63960784,-3.63960784,-3.63960784,-3.63960784,-3.63960784,-3.63960784,16.36039216,-3.63960784
0.0025,-1.76176471,-1.76176471,-1.76176471,-1.76176471,-1.76176471,-1.76176471,-1.76176471,-1.76176471,-1.76176471,-1.76176471,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,18.67588235,-1.32411765,-2.52941176,-2.52941176,-2.52941176,-2.52941176,-2.52941176,-2.52941176,-2.52941176,-2.52941176,-2.52941176,-2.52941176,-0.69705882,-0.69705882,-0.69705882,-0.69705882,19.30294118,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-3.63960784,-3.63960784,-3.63960784,16.36039216,-3.63960784,-3.63960784,-3.63960784,-3.63960784,-3.63960784,16.36039216
0.0035,-1.76176471,38.23823529,-1.76176471,-1.76176471,-1.76176471,-1.76176471,-1.76176471,-1.76176471,-1.76176471,-1.76176471,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-2.52941176,-2.52941176,-2.52941176,-2.52941176,17.47058824,-2.52941176,17.47058824,-2.52941176,-2.52941176,-2.52941176,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-3.63960784,-3.63960784,15.96823526,-3.63960784,-3.63960784,-3.63960784,16.36039216,-3.63960784,-3.63960784,-3.63960784
0.0045,-1.76176471,-1.76176471,-1.76176471,-1.76176471,18.23823529,-1.76176471,-1.76176471,-1.76176471,-1.76176471,-1.76176471,-1.32411765,-1.32411765,-1.32411765,18.67588235,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-2.52941176,-2.52941176,17.07843134,-2.52941176,-2.52941176,-2.52941176,-2.52941176,-2.52941176,-2.52941176,-2.52941176,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-0.69705882,-3.63960784,16.36039216,-3.63960784,16.36039216,-3.63960784,-3.63960784,-3.63960784,-3.63960784,-3.63960784,-3.63960784
0.0055,-1.76176471,-1.76176471,17.84607839,-1.76176471,18.23823529,-1.76176471,18.23823529,-1.76176471,18.23823529,38.23823529,-1.32411765,38.67588235,175.1464706,158.6758824,98.67588235,96.71509805,18.67588235,238.6758824,18.67588235,58.67588235,-2.52941176,97.47058824,173.9411764,177.4705882,117.4705882,95.50980394,137.4705882,17.47058824,97.47058824,57.47058824,-0.69705882,-0.69705882,18.91078428,-0.69705882,59.30294118,-0.69705882,-0.69705882,-0.69705882,59.30294118,-0.69705882,36.36039216,16.36039216,55.18392156,16.36039216,36.36039216,15.96823526,36.36039216,-3.63960784,-3.63960784,-3.63960784
0.0065,-1.76176471,-1.76176471,-1.76176471,38.23823529,98.23823529,155.1009804,158.2382353,138.2382353,198.2382353,278.2382353,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,-1.32411765,18.67588235,-1.32411765,-1.32411765,-1.32411765,-2.52941176,37.47058824,-2.52941176,-2.52941176,-2.52941176,17.07843134,-2.52941176,-2.52941176,-2.52941176,-2.52941176,-0.69705882,-0.69705882,18.91078428,19.30294118,19.30294118,18.91078428,19.30294118,39.30294118,19.30294118,-0.69705882,-3.63960784,-3.63960784,15.96823526,36.36039216,16.36039216,-3.63960784,-3.63960784,36.36039216,36.36039216,56.36039216
0.0075,78.23823529,158.2382353,96.27745099,258.2382353,278.2382353,331.5715686,198.2382353,238.2382353,378.2382353,158.2382353,18.67588235,18.67588235,-1.32411765,-1.32411765,-1.32411765,37.89156865,38.67588235,18.67588235,-1.32411765,-1.32411765,17.47058824,-2.52941176,17.07843134,-2.52941176,-2.52941176,-2.52941176,-2.52941176,-2.52941176,-2.52941176,17.47058824,-0.69705882,19.30294118,77.73431368,79.30294118,-0.69705882,58.12647058,39.30294118,-0.69705882,39.30294118,79.30294118,16.36039216,-3.63960784,15.96823526,16.36039216,16.36039216,35.57607846,36.36039216,36.36039216,16.36039216,36.36039216
0.0085,198.2382353,278.2382353,311.9637255,258.2382353,298.2382353,233.5323529,258.2382353,218.2382353,238.2382353,138.2382353,-1.32411765,-1.32411765,-1.32411765,-1.32411765,38.67588235,18.28372545,-1.32411765,18.67588235,58.67588235,98.67588235,17.47058824,-2.52941176,-2.52941176,-2.52941176,-2.52941176,17.07843134,17.47058824,-2.52941176,-2.52941176,37.47058824,59.30294118,59.30294118,58.12647058,79.30294118,39.30294118,38.51862748,19.30294118,59.30294118,99.30294118,79.30294118,36.36039216,16.36039216,15.96823526,56.36039216,16.36039216,15.96823526,16.36039216,76.36039216,36.36039216,56.36039216
0.0095,318.2382353,118.2382353,292.3558824,238.2382353,158.2382353,253.1401961,178.2382353,98.23823529,78.23823529,98.23823529,-1.32411765,18.67588235,37.89156865,78.67588235,78.67588235,-1.32411765,78.67588235,38.67588235,78.67588235,58.67588235,-2.52941176,57.47058824,17.07843134,17.47058824,37.47058824,56.29411764,57.47058824,-2.52941176,37.47058824,17.47058824,79.30294118,119.3029412,77.73431368,59.30294118,99.30294118,18.91078428,79.30294118,59.30294118,59.30294118,59.30294118,56.36039216,36.36039216,15.96823526,16.36039216,16.36039216,55.18392156,-3.63960784,16.36039216,76.36039216,56.36039216
