,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10,f07_stimulus_1,f07_stimulus_2,f07_stimulus_3,f07_stimulus_4,f07_stimulus_5,f07_stimulus_6,f07_stimulus_7,f07_stimulus_8,f07_stimulus_9,f07_stimulus_10
0.0005,-8.37040816,-8.37040816,31.62959184,-8.37040816,11.62959184,11.62959184,31.62959184,-8.37040816,11.62959184,-8.37040816,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,9.81408163,-10.18591837,-10.18591837,9.81408163,-10.18591837,-10.18591837,9.81408163,-10.18591837,29.81408163,-10.18591837,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,18.68387759,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449
0.0015,-8.37040816,-8.37040816,-8.37040816,-8.37040816,-8.37040816,31.62959184,11.62959184,-8.37040816,-8.37040816,-8.37040816,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,9.81408163,-10.18591837,29.81408163,-10.18591837,-10.18591837,-10.18591837,29.81408163,-10.18591837,-10.18591837,51.03857143,18.46653061,-1.53346939,-1.53346939,18.46653061,-1.53346939,-1.53346939,-1.53346939,18.46653061,-1.53346939,-1.53346939,18.27571429,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449
0.0025,-8.37040816,-8.37040816,-8.37040816,-8.37040816,-8.37040816,11.62959184,-8.37040816,11.62959184,-8.37040816,-8.37040816,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,19.64612248,9.81408163,-10.18591837,-10.18591837,-10.18591837,-10.18591837,29.81408163,-10.18591837,9.81408163,-10.18591837,10.22224493,-1.53346939,-1.53346939,-1.53346939,18.46653061,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.72428571,-1.72428571,-1.72428571,18.27571429,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,19.1877551,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449
0.0035,-8.37040816,11.62959184,-8.37040816,-8.37040816,-8.37040816,-8.37040816,11.62959184,11.62959184,-8.37040816,32.44591834,-0.97142857,-0.97142857,-0.97142857,19.02857143,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,9.81408163,9.81408163,-10.18591837,9.81408163,29.81408163,29.81408163,-10.18591837,-10.18591837,29.81408163,10.22224493,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449
0.0045,11.62959184,-8.37040816,31.62959184,11.62959184,-8.37040816,-8.37040816,-8.37040816,11.62959184,-8.37040816,12.03775514,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,-0.97142857,19.43673473,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,29.81408163,-10.18591837,29.81408163,29.81408163,9.81408163,9.81408163,29.81408163,9.81408163,9.81408163,-10.18591837,-1.53346939,-1.53346939,-1.53346939,18.46653061,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,18.68387759,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449,-0.8122449
0.0055,-8.37040816,-8.37040816,-8.37040816,-8.37040816,31.62959184,-8.37040816,11.62959184,31.62959184,11.62959184,32.44591834,-0.97142857,-0.97142857,-0.97142857,-0.97142857,39.02857143,19.02857143,19.02857143,-0.97142857,-0.97142857,39.84489793,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-10.18591837,9.81408163,-10.18591837,9.81408163,-10.18591837,9.81408163,9.81408163,9.81408163,-10.18591837,-10.18591837,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.53346939,-1.53346939,18.46653061,-1.53346939,18.46653061,39.28285711,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,-1.72428571,38.27571429,18.27571429,-1.72428571,-0.8122449,-0.8122449,-0.8122449,19.1877551,19.1877551,-0.8122449,-0.8122449,-0.8122449,19.1877551,-0.8122449
0.0065,-8.37040816,-8.37040816,71.62959184,171.6295918,191.6295918,171.6295918,171.6295918,291.6295918,231.6295918,216.1193877,19.02857143,39.02857143,19.02857143,19.02857143,-0.97142857,-0.97142857,19.02857143,-0.97142857,-0.97142857,-0.97142857,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,19.23795918,-0.76204082,-0.76204082,49.81408163,-10.18591837,69.81408163,29.81408163,-10.18591837,-10.18591837,29.81408163,9.81408163,-10.18591837,-10.18591837,-1.53346939,18.46653061,98.46653061,38.46653061,98.46653061,78.46653061,58.46653061,98.46653061,198.4665306,202.5481633,-1.72428571,38.27571429,-1.72428571,38.27571429,18.27571429,38.27571429,78.27571429,18.27571429,38.27571429,-1.72428571,-0.8122449,39.1877551,59.1877551,19.1877551,39.1877551,-0.8122449,19.1877551,79.1877551,19.1877551,-0.8122449
0.0075,31.62959184,51.62959184,111.6295918,171.6295918,91.62959184,131.6295918,71.62959184,11.62959184,151.6295918,154.8948979,19.02857143,39.02857143,39.02857143,19.02857143,19.02857143,-0.97142857,-0.97142857,-0.97142857,19.02857143,-0.97142857,-0.76204082,19.23795918,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,-0.76204082,19.64612248,49.81408163,89.81408163,9.81408163,29.81408163,29.81408163,69.81408163,49.81408163,109.8140816,9.81408163,30.63040813,58.46653061,58.46653061,58.46653061,58.46653061,78.46653061,38.46653061,98.46653061,58.46653061,78.46653061,59.69102041,78.27571429,18.27571429,98.27571429,18.27571429,58.27571429,38.27571429,-1.72428571,18.27571429,-1.72428571,-1.72428571,99.1877551,119.1877551,59.1877551,19.1877551,59.1877551,59.1877551,-0.8122449,59.1877551,39.1877551,19.5959184
0.0085,151.6295918,91.62959184,151.6295918,131.6295918,171.6295918,271.6295918,211.6295918,111.6295918,111.6295918,114.0785714,39.02857143,39.02857143,-0.97142857,-0.97142857,-0.97142857,19.02857143,39.02857143,-0.97142857,-0.97142857,39.84489793,-0.76204082,-0.76204082,39.23795918,19.23795918,19.23795918,-0.76204082,19.23795918,-0.76204082,-0.76204082,-0.76204082,29.81408163,29.81408163,9.81408163,69.81408163,109.8140816,69.81408163,9.81408163,129.8140816,-10.18591837,71.44673473,38.46653061,58.46653061,38.46653061,-1.53346939,38.46653061,18.46653061,58.46653061,58.46653061,58.46653061,120.9155102,-1.72428571,38.27571429,18.27571429,-1.72428571,18.27571429,38.27571429,38.27571429,-1.72428571,18.27571429,-1.72428571,19.1877551,19.1877551,39.1877551,39.1877551,39.1877551,19.1877551,99.1877551,-0.8122449,59.1877551,19.5959184
0.0095,131.6295918,231.6295918,211.6295918,171.6295918,171.6295918,171.6295918,151.6295918,171.6295918,331.6295918,175.3030612,19.02857143,19.02857143,-0.97142857,19.02857143,-0.97142857,-0.97142857,39.02857143,-0.97142857,-0.97142857,-0.97142857,-0.76204082,-0.76204082,19.23795918,19.23795918,-0.76204082,19.23795918,19.23795918,-0.76204082,-0.76204082,-0.76204082,9.81408163,69.81408163,-10.18591837,29.81408163,49.81408163,49.81408163,-10.18591837,29.81408163,69.81408163,10.22224493,38.46653061,58.46653061,98.46653061,118.4665306,78.46653061,78.46653061,38.46653061,18.46653061,98.46653061,161.7318367,38.27571429,18.27571429,18.27571429,-1.72428571,18.27571429,18.27571429,58.27571429,38.27571429,58.27571429,18.68387759,-0.8122449,19.1877551,39.1877551,-0.8122449,19.1877551,19.1877551,79.1877551,59.1877551,59.1877551,40.0040816
