,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10
0.0005,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0015,-2.36367347,17.63632653,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,37.63632653,-2.36367347,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0025,-2.36367347,-2.36367347,17.63632653,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0035,17.63632653,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,18.04448983,-0.63204082,-0.63204082,-0.63204082,19.36795918,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0045,-2.36367347,-2.36367347,17.63632653,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0055,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,17.63632653,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,19.36795918,-0.63204082,-0.63204082,-0.63204082
0.0065,-2.36367347,-2.36367347,-2.36367347,-2.36367347,-2.36367347,17.63632653,37.63632653,17.63632653,17.63632653,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0075,-2.36367347,17.63632653,-2.36367347,-2.36367347,-2.36367347,17.63632653,-2.36367347,-2.36367347,37.63632653,18.04448983,19.36795918,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0085,-2.36367347,-2.36367347,17.63632653,-2.36367347,-2.36367347,37.63632653,-2.36367347,-2.36367347,57.63632653,-2.36367347,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,19.36795918,-0.63204082
0.0095,-2.36367347,17.63632653,-2.36367347,-2.36367347,-2.36367347,-2.36367347,17.63632653,57.63632653,37.63632653,18.04448983,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0105,-2.36367347,17.63632653,17.63632653,57.63632653,97.63632653,97.63632653,77.63632653,57.63632653,117.6363265,160.9016326,-0.63204082,-0.63204082,-0.63204082,-0.63204082,19.36795918,19.36795918,-0.63204082,-0.63204082,-0.63204082,-0.63204082
0.0115,-2.36367347,17.63632653,37.63632653,17.63632653,57.63632653,37.63632653,177.6363265,57.63632653,77.63632653,99.67714283,-0.63204082,-0.63204082,-0.63204082,19.36795918,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082,-0.63204082
