,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10
0.0005,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,18.03510205,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,19.30897963,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0015,-1.96346939,-1.96346939,18.03653061,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,19.57224493,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,18.03510205,-1.96489795,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0025,18.44469391,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,19.16408163,-0.83591837,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0035,-1.96346939,18.44469391,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,18.44326535,-1.96489795,-1.96489795,-1.96489795,-1.96489795,18.44326535,-1.96489795,-1.96489795,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0045,-1.96346939,18.44469391,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-0.83591837,-0.83591837,19.16408163,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,-1.96489795,-1.96489795,18.44326535,-1.96489795,-1.96489795,-1.96489795,18.03510205,18.03510205,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0055,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,18.44469391,18.03653061,18.03653061,-1.96346939,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-1.96489795,18.44326535,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0065,-1.96346939,-1.96346939,-1.96346939,-1.96346939,-1.96346939,18.03653061,18.44469391,58.03653061,38.03653061,38.03653061,-0.83591837,-0.83591837,-0.83591837,19.57224493,19.16408163,-0.83591837,-0.83591837,-0.83591837,39.16408163,-0.83591837,-1.96489795,-1.96489795,-1.96489795,-1.96489795,18.03510205,-1.96489795,-1.96489795,-1.96489795,18.03510205,38.03510205,-1.09918367,-1.09918367,-1.09918367,19.30897963,-1.09918367,-1.09918367,-1.09918367,-1.09918367,18.90081633,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0075,-1.96346939,-1.96346939,18.03653061,-1.96346939,98.03653061,38.03653061,-1.96346939,-1.96346939,38.03653061,38.03653061,19.57224493,-0.83591837,-0.83591837,-0.83591837,-0.83591837,19.16408163,60.38857143,19.16408163,-0.83591837,-0.83591837,-1.96489795,18.44326535,18.03510205,38.85142855,38.03510205,78.03510205,18.44326535,38.03510205,78.03510205,-1.96489795,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0085,38.85285711,-1.96346939,18.03653061,18.44469391,38.03653061,38.03653061,18.44469391,-1.96346939,58.03653061,98.03653061,-0.83591837,-0.83591837,-0.83591837,-0.83591837,-0.83591837,19.16408163,-0.83591837,19.16408163,-0.83591837,59.16408163,18.44326535,79.66775515,18.03510205,38.85142855,18.03510205,-1.96489795,18.44326535,-1.96489795,38.03510205,18.03510205,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,-1.09918367,18.90081633,18.90081633,18.90081633,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
0.0095,-1.96346939,18.44469391,-1.96346939,-1.96346939,18.03653061,18.03653061,-1.96346939,58.03653061,18.03653061,38.03653061,-0.83591837,-0.83591837,19.16408163,39.98040813,19.16408163,19.16408163,-0.83591837,19.16408163,-0.83591837,-0.83591837,-1.96489795,-1.96489795,-1.96489795,-1.96489795,38.03510205,-1.96489795,18.44326535,-1.96489795,58.03510205,38.03510205,-1.09918367,-1.09918367,18.90081633,19.30897963,-1.09918367,-1.09918367,19.30897963,-1.09918367,-1.09918367,-1.09918367,-0.35265305,-0.35265305,-0.35265305,20.05551025,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305,-0.35265305
