,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10
0.0005,-4.15918367,-4.15918367,-4.15918367,-4.15918367,-4.15918367,15.84081633,-4.15918367,-4.15918367,-4.15918367,-4.15918367,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,18.19591837,-1.80408163,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837,17.30408163,-2.69591837,-2.69591837,-2.69591837
0.0015,-4.15918367,-4.15918367,-4.15918367,15.84081633,-4.15918367,-4.15918367,-4.15918367,-4.15918367,-4.15918367,-4.15918367,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837,17.30408163,17.30408163,-2.69591837,-2.69591837
0.0025,-4.15918367,-4.15918367,-4.15918367,-4.15918367,-4.15918367,15.84081633,-4.15918367,-4.15918367,-4.15918367,-4.15918367,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837,17.30408163
0.0035,-4.15918367,-4.15918367,-4.15918367,-4.15918367,-4.15918367,15.84081633,-4.15918367,-4.15918367,-4.15918367,-4.15918367,-1.80408163,-1.80408163,-1.80408163,-1.80408163,18.19591837,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837
0.0045,-4.15918367,16.24897963,15.84081633,-4.15918367,-4.15918367,-4.15918367,-4.15918367,-4.15918367,-4.15918367,-4.15918367,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837,-2.69591837
0.0055,-4.15918367,-4.15918367,-4.15918367,15.84081633,15.84081633,15.84081633,15.84081633,75.84081633,55.84081633,95.84081633,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,18.19591837,-1.80408163,-2.69591837,-2.69591837,-2.69591837,-2.69591837,17.30408163,-2.69591837,-2.69591837,17.30408163,-2.69591837,-2.69591837
0.0065,75.84081633,36.65714283,55.84081633,55.84081633,55.84081633,-4.15918367,75.84081633,-4.15918367,35.84081633,35.84081633,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,-1.80408163,38.19591837,17.30408163,99.34489793,17.30408163,-2.69591837,37.30408163,17.30408163,137.3040816,137.3040816,57.30408163,57.30408163
0.0075,-4.15918367,16.24897963,15.84081633,55.84081633,15.84081633,35.84081633,-4.15918367,15.84081633,-4.15918367,35.84081633,-1.80408163,18.60408167,-1.80408163,38.19591837,-1.80408163,38.19591837,38.19591837,18.19591837,58.19591837,18.19591837,97.30408163,58.52857143,77.30408163,37.30408163,97.30408163,37.30408163,17.30408163,97.30408163,57.30408163,37.30408163
0.0085,15.84081633,-4.15918367,15.84081633,35.84081633,15.84081633,-4.15918367,-4.15918367,-4.15918367,-4.15918367,-4.15918367,38.19591837,-1.80408163,18.19591837,138.1959184,38.19591837,198.1959184,218.1959184,58.19591837,118.1959184,158.1959184,117.3040816,180.977551,57.30408163,37.30408163,157.3040816,17.30408163,37.30408163,57.30408163,57.30408163,97.30408163
0.0095,15.84081633,-4.15918367,-4.15918367,15.84081633,15.84081633,35.84081633,-4.15918367,-4.15918367,-4.15918367,-4.15918367,118.1959184,161.4612245,138.1959184,138.1959184,158.1959184,118.1959184,58.19591837,118.1959184,138.1959184,18.19591837,97.30408163,99.34489793,117.3040816,37.30408163,37.30408163,57.30408163,77.30408163,37.30408163,37.30408163,137.3040816
