,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10
0.0005,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-4.22117647,-4.22117647,-4.22117647,-4.22117647,15.38666663,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-0.19941176,19.80058824,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176
0.0015,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176
0.0025,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-4.22117647,-4.22117647,-4.22117647,15.77882353,-4.22117647,15.77882353,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176
0.0035,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,18.81254902,-1.18745098,-1.18745098,-0.68784314,19.31215686,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-4.22117647,-4.22117647,-4.22117647,-4.22117647,15.38666663,-4.22117647,-4.22117647,-4.22117647,15.77882353,15.77882353,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176
0.0045,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-4.22117647,-4.22117647,-4.22117647,15.77882353,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176
0.0055,-1.18745098,-1.18745098,18.81254902,-1.18745098,18.42039212,18.81254902,18.81254902,58.81254902,18.81254902,38.81254902,-0.68784314,-0.68784314,-0.68784314,39.31215686,18.91999996,19.31215686,-0.68784314,39.31215686,39.31215686,19.31215686,15.77882353,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,15.77882353,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176
0.0065,18.81254902,58.81254902,58.81254902,78.81254902,136.067451,78.81254902,98.81254902,58.81254902,138.812549,118.812549,-0.68784314,-0.68784314,79.31215686,39.31215686,58.13568626,99.31215686,59.31215686,79.31215686,139.3121569,99.31215686,15.77882353,-4.22117647,95.77882353,75.77882353,54.60235293,35.77882353,75.77882353,55.77882353,155.7788235,95.77882353,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,19.80058824,-0.19941176,19.80058824,19.80058824,-0.19941176
0.0075,-1.18745098,-1.18745098,38.81254902,-1.18745098,77.24392152,58.81254902,118.812549,58.81254902,58.81254902,118.812549,79.31215686,159.3121569,99.31215686,159.3121569,18.91999996,139.3121569,19.31215686,19.31215686,139.3121569,99.31215686,35.77882353,55.77882353,55.77882353,35.77882353,15.38666663,35.77882353,75.77882353,35.77882353,15.77882353,15.77882353,-0.19941176,-0.19941176,-0.19941176,-0.19941176,19.40843134,39.80058824,-0.19941176,39.80058824,19.80058824,59.80058824
0.0085,78.81254902,18.81254902,218.812549,238.812549,136.067451,178.812549,138.812549,178.812549,138.812549,198.812549,79.31215686,79.31215686,59.31215686,79.31215686,77.74352936,19.31215686,59.31215686,159.3121569,119.3121569,79.31215686,95.77882353,55.77882353,55.77882353,15.77882353,113.4258823,55.77882353,95.77882353,95.77882353,55.77882353,15.77882353,-0.19941176,-0.19941176,19.80058824,39.80058824,19.40843134,59.80058824,19.80058824,79.80058824,79.80058824,79.80058824
0.0095,198.812549,218.812549,158.812549,138.812549,96.85176472,158.812549,178.812549,38.81254902,158.812549,118.812549,139.3121569,79.31215686,-0.68784314,139.3121569,97.35137256,59.31215686,79.31215686,79.31215686,99.31215686,19.31215686,55.77882353,35.77882353,55.77882353,15.77882353,113.4258823,75.77882353,115.7788235,15.77882353,-4.22117647,55.77882353,19.80058824,19.80058824,39.80058824,19.80058824,-0.19941176,39.80058824,59.80058824,39.80058824,39.80058824,19.80058824
0.0105,178.812549,138.812549,78.81254902,38.81254902,38.02823532,18.81254902,158.812549,78.81254902,18.81254902,18.81254902,79.31215686,79.31215686,139.3121569,59.31215686,97.35137256,119.3121569,59.31215686,159.3121569,59.31215686,19.31215686,95.77882353,15.77882353,75.77882353,75.77882353,93.81803923,35.77882353,35.77882353,55.77882353,15.77882353,115.7788235,19.80058824,39.80058824,-0.19941176,-0.19941176,39.01627454,-0.19941176,-0.19941176,39.80058824,19.80058824,-0.19941176
0.0115,78.81254902,58.81254902,58.81254902,58.81254902,38.02823532,58.81254902,58.81254902,98.81254902,78.81254902,118.812549,99.31215686,99.31215686,99.31215686,99.31215686,38.52784316,119.3121569,59.31215686,59.31215686,59.31215686,159.3121569,75.77882353,95.77882353,35.77882353,75.77882353,54.60235293,15.77882353,75.77882353,15.77882353,55.77882353,55.77882353,-0.19941176,-0.19941176,-0.19941176,-0.19941176,39.01627454,39.80058824,59.80058824,19.80058824,39.80058824,19.80058824
0.0125,18.81254902,18.81254902,18.81254902,58.81254902,18.42039212,58.81254902,118.812549,-1.18745098,38.81254902,-1.18745098,19.31215686,59.31215686,159.3121569,139.3121569,77.74352936,59.31215686,59.31215686,59.31215686,99.31215686,79.31215686,55.77882353,-4.22117647,15.77882353,15.77882353,-4.22117647,35.77882353,15.77882353,35.77882353,15.77882353,35.77882353,-0.19941176,-0.19941176,-0.19941176,-0.19941176,19.40843134,39.80058824,-0.19941176,39.80058824,39.80058824,19.80058824
0.0135,-1.18745098,-1.18745098,38.81254902,18.81254902,38.02823532,-1.18745098,-1.18745098,-1.18745098,58.81254902,18.81254902,79.31215686,59.31215686,59.31215686,39.31215686,38.52784316,39.31215686,99.31215686,59.31215686,19.31215686,99.31215686,35.77882353,55.77882353,35.77882353,55.77882353,34.99450983,-4.22117647,15.77882353,15.77882353,-4.22117647,15.77882353,-0.19941176,-0.19941176,-0.19941176,39.80058824,-0.19941176,19.80058824,19.80058824,39.80058824,-0.19941176,19.80058824
0.0145,18.81254902,58.81254902,-1.18745098,-1.18745098,-1.18745098,18.81254902,18.81254902,-1.18745098,-1.18745098,18.81254902,19.31215686,-0.68784314,79.31215686,-0.68784314,18.91999996,39.31215686,19.31215686,-0.68784314,-0.68784314,19.31215686,35.77882353,-4.22117647,15.77882353,-4.22117647,54.60235293,15.77882353,15.77882353,15.77882353,15.77882353,-4.22117647,-0.19941176,-0.19941176,-0.19941176,19.80058824,-0.19941176,-0.19941176,-0.19941176,19.80058824,-0.19941176,-0.19941176
0.0155,18.81254902,18.81254902,18.81254902,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,39.31215686,-0.68784314,19.31215686,19.31215686,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,55.77882353,55.77882353,15.77882353,15.77882353,-4.22117647,15.77882353,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176
0.0165,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,18.81254902,-1.18745098,-1.18745098,-1.18745098,-1.18745098,19.31215686,19.31215686,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,15.77882353,-4.22117647,-4.22117647,-4.22117647,-4.22117647,15.77882353,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176
0.0175,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,19.31215686,35.77882353,15.77882353,15.77882353,-4.22117647,-4.22117647,15.77882353,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176
0.0185,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-0.68784314,19.31215686,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-4.22117647,15.77882353,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,15.77882353,-4.22117647,-4.22117647,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176
0.0195,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176
0.0205,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-0.68784314,19.31215686,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-4.22117647,35.77882353,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176
0.0215,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,35.77882353,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176
0.0225,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-1.18745098,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-0.68784314,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-4.22117647,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176,-0.19941176
