,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10
0.0005,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,16.87236046,-2.35840874,-2.35840874,-2.35840874,-2.35840874,-2.35840874,-2.35840874,-2.35840874,-2.35840874,-2.35840874,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.58993213,-1.58993213,-1.58993213,-1.58993213,-1.58993213,-1.58993213,-1.58993213,-1.58993213,-1.58993213,-1.58993213,-9.02828054,10.57956256,-9.02828054,10.57956256,10.57956256,10.57956256,-9.02828054,10.57956256,-9.02828054,-9.02828054
0.0015,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,18.01018096,-1.59766214,17.63310706,-1.59766214,-2.35840874,17.24943436,-2.35840874,-2.35840874,-2.35840874,-2.35840874,-2.35840874,-2.35840874,16.87236046,-2.35840874,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-1.47228508,18.13555802,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.58993213,-1.58993213,-1.58993213,-1.58993213,-1.58993213,-1.58993213,-1.58993213,-1.58993213,17.64083707,-1.58993213,-9.02828054,-9.02828054,10.57956256,-9.02828054,-9.02828054,-9.02828054,49.79524886,-9.02828054,10.20248866,29.43325796
0.0025,17.63310706,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-2.35840874,-2.35840874,-2.35840874,-2.35840874,-2.35840874,-2.35840874,-2.35840874,-2.35840874,-2.35840874,-2.35840874,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-1.47228508,-1.47228508,-1.47228508,18.13555802,-1.47228508,18.13555802,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.58993213,18.01791097,-1.58993213,-1.58993213,-1.58993213,-1.58993213,-1.58993213,-1.58993213,-1.58993213,-1.58993213,-9.02828054,10.57956256,-9.02828054,10.57956256,-9.02828054,-9.02828054,-9.02828054,-9.02828054,10.20248866,-9.02828054
0.0035,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,17.63310706,-1.59766214,-2.35840874,36.85727756,-2.35840874,-2.35840874,-2.35840874,17.24943436,-2.35840874,-2.35840874,-2.35840874,-2.35840874,18.51904221,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.47228508,17.75848412,-1.47228508,-1.58993213,18.01791097,-1.58993213,-1.58993213,18.01791097,18.01791097,37.62575417,-1.58993213,-1.58993213,-1.58993213,-9.02828054,-9.02828054,-9.02828054,10.57956256,-9.02828054,-9.02828054,-9.02828054,30.18740576,-9.02828054,-9.02828054
0.0045,17.63310706,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-1.59766214,-2.35840874,-2.35840874,17.24943436,-2.35840874,-2.35840874,-2.35840874,-2.35840874,-2.35840874,16.87236046,-2.35840874,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-0.71172699,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.47228508,-1.47228508,17.75848412,-1.47228508,-1.58993213,-1.58993213,-1.58993213,-1.58993213,18.01791097,-1.58993213,-1.58993213,-1.58993213,-1.58993213,36.87160637,10.20248866,-9.02828054,10.57956256,-9.02828054,10.57956256,10.57956256,-9.02828054,-9.02828054,-9.02828054,-9.02828054
0.0055,-1.59766214,18.01018096,-1.59766214,18.01018096,-1.59766214,37.61802416,37.61802416,57.22586726,-1.59766214,36.86387636,36.10312976,-2.35840874,-2.35840874,17.24943436,17.24943436,-2.35840874,-2.35840874,-2.35840874,-2.35840874,-2.35840874,-0.71172699,-0.71172699,-0.71172699,18.89611611,-0.71172699,18.89611611,-0.71172699,18.89611611,18.51904221,-0.71172699,17.75848412,18.13555802,18.13555802,18.13555802,96.56693062,96.56693062,76.95908742,57.35124432,56.22002262,56.22002262,17.64083707,-1.58993213,-1.58993213,-1.58993213,37.62575417,-1.58993213,-1.58993213,-1.58993213,-1.58993213,-1.58993213,-9.02828054,-9.02828054,-9.02828054,30.18740576,10.57956256,10.57956256,10.57956256,-9.02828054,10.20248866,-9.02828054
0.0065,56.09464556,18.01018096,116.0493967,57.22586726,57.22586726,76.83371036,76.83371036,57.22586726,36.86387636,75.32541476,16.87236046,56.46512066,-2.35840874,-2.35840874,-2.35840874,-2.35840874,17.24943436,-2.35840874,-2.35840874,-2.35840874,-0.71172699,-0.71172699,38.50395931,18.89611611,18.89611611,-0.71172699,58.11180241,38.50395931,-0.71172699,-0.71172699,17.75848412,116.1747737,174.9983031,76.95908742,194.6061463,116.1747737,96.56693062,116.1747737,171.604638,56.22002262,17.64083707,18.01791097,-1.58993213,18.01791097,-1.58993213,18.01791097,-1.58993213,-1.58993213,-1.58993213,-1.58993213,10.20248866,49.79524886,-9.02828054,30.18740576,10.57956256,-9.02828054,-9.02828054,-9.02828054,10.20248866,-9.02828054
0.0075,75.32541476,18.01018096,18.01018096,18.01018096,37.61802416,57.22586726,18.01018096,37.61802416,17.63310706,17.63310706,-2.35840874,-2.35840874,-2.35840874,-2.35840874,17.24943436,36.85727756,17.24943436,-2.35840874,-2.35840874,-2.35840874,37.74981151,18.89611611,58.11180241,38.50395931,18.89611611,-0.71172699,-0.71172699,18.89611611,-0.71172699,18.51904221,94.68156112,37.74340122,76.95908742,76.95908742,155.39046,76.95908742,116.1747737,18.13555802,133.1430995,56.22002262,-1.58993213,-1.58993213,-1.58993213,-1.58993213,-1.58993213,-1.58993213,18.01791097,-1.58993213,-1.58993213,-1.58993213,67.89479636,-9.02828054,10.57956256,-9.02828054,-9.02828054,49.79524886,10.57956256,30.18740576,10.20248866,-9.02828054
0.0085,36.86387636,76.83371036,37.61802416,116.0493967,76.83371036,116.0493967,37.61802416,18.01018096,94.55618406,75.32541476,16.87236046,-2.35840874,56.46512066,-2.35840874,-2.35840874,-2.35840874,36.85727756,17.24943436,-2.35840874,-2.35840874,-0.71172699,38.50395931,38.50395931,-0.71172699,38.50395931,38.50395931,-0.71172699,18.89611611,76.21134991,18.51904221,133.1430995,135.7826169,116.1747737,155.39046,116.1747737,57.35124432,37.74340122,37.74340122,113.9123303,56.22002262,17.64083707,-1.58993213,-1.58993213,-1.58993213,-1.58993213,18.01791097,18.01791097,-1.58993213,17.64083707,36.87160637,10.20248866,30.18740576,-9.02828054,10.57956256,-9.02828054,30.18740576,69.40309196,-9.02828054,10.20248866,67.89479636
0.0095,75.32541476,76.83371036,57.22586726,-1.59766214,57.22586726,96.44155356,57.22586726,37.61802416,36.86387636,75.32541476,16.87236046,17.24943436,56.46512066,17.24943436,115.2886501,36.85727756,56.46512066,76.07296376,36.10312976,-2.35840874,-0.71172699,-0.71172699,38.50395931,58.11180241,38.50395931,116.9353318,58.11180241,77.71964551,37.74981151,18.51904221,75.45079182,155.39046,37.74340122,37.74340122,18.13555802,116.1747737,18.13555802,-1.47228508,-1.47228508,36.98925342,17.64083707,18.01791097,76.84144037,76.84144037,18.01791097,-1.58993213,57.23359727,-1.58993213,-1.58993213,-1.58993213,-9.02828054,10.57956256,30.18740576,-9.02828054,30.18740576,-9.02828054,49.79524886,10.57956256,29.43325796,29.43325796
