,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10,f05_stimulus_1,f05_stimulus_2,f05_stimulus_3,f05_stimulus_4,f05_stimulus_5,f05_stimulus_6,f05_stimulus_7,f05_stimulus_8,f05_stimulus_9,f05_stimulus_10,f06_stimulus_1,f06_stimulus_2,f06_stimulus_3,f06_stimulus_4,f06_stimulus_5,f06_stimulus_6,f06_stimulus_7,f06_stimulus_8,f06_stimulus_9,f06_stimulus_10
0.0005,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-4.4,15.6,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,35.6,-4.4,17.55,-2.45,-2.45,-2.45,17.55,-2.45,-2.45,-2.45,-2.45,-2.45,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-2.14,17.86,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,17.97,-2.03
0.0015,-3.15,-3.15,16.85,-3.15,-3.15,-3.15,-3.15,-3.15,16.85,-3.15,-4.4,15.6,15.6,-4.4,-4.4,15.6,-4.4,-4.4,15.6,-4.4,17.55,-2.45,-2.45,-2.45,-2.45,17.55,-2.45,-2.45,-2.45,37.55,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,17.86,17.86,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03
0.0025,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-4.4,-4.4,-4.4,-4.4,-4.4,15.6,-4.4,15.6,-4.4,15.6,-2.45,-2.45,-2.45,-2.45,-2.45,17.55,-2.45,17.55,-2.45,-2.45,18.01,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,17.86,-2.14,-2.14,-2.03,-2.03,17.97,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03
0.0035,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,36.85,16.85,15.6,15.6,-4.4,-4.4,-4.4,15.6,-4.4,15.6,-4.4,15.6,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,17.55,-2.45,-1.99,18.01,-1.99,-1.99,18.01,-1.99,-1.99,18.01,18.01,-1.99,-2.14,-2.14,17.86,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,17.97,17.97,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03
0.0045,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,15.6,15.6,-4.4,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,17.55,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,18.01,-1.99,-1.99,-2.14,-2.14,37.86,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,17.86,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03
0.0055,-3.15,-3.15,16.85,-3.15,-3.15,-3.15,-3.15,36.85,-3.15,-3.15,-4.4,15.6,15.6,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,17.55,-2.45,17.55,-2.45,-2.45,37.55,-2.45,17.55,-2.45,-2.45,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,18.01,-2.14,-2.14,-2.14,-2.14,-2.14,17.86,-2.14,-2.14,-2.14,-2.14,-2.03,-2.03,-2.03,-2.03,17.97,-2.03,-2.03,-2.03,-2.03,-2.03
0.0065,-3.15,-3.15,16.85,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,15.6,-4.4,-4.4,-4.4,-4.4,15.6,-4.4,-4.4,15.6,15.6,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,18.01,-1.99,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,17.86,-2.14,-2.14,-2.14,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03
0.0075,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,16.85,-3.15,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,17.55,-2.45,-2.45,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,17.97
0.0085,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,16.85,-4.4,-4.4,-4.4,15.6,-4.4,-4.4,-4.4,-4.4,-4.4,15.6,-2.45,-2.45,17.55,-2.45,-2.45,-2.45,-2.45,-2.45,17.55,-2.45,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,18.01,-2.14,-2.14,-2.14,-2.14,17.86,-2.14,-2.14,-2.14,-2.14,-2.14,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,17.97
0.0095,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-4.4,-4.4,15.6,-4.4,-4.4,15.6,-4.4,-4.4,-4.4,-4.4,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,-2.45,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,-1.99,18.01,-1.99,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,-2.14,17.86,-2.14,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,17.97,-2.03,17.97
