,f01_stimulus_1,f01_stimulus_2,f01_stimulus_3,f01_stimulus_4,f01_stimulus_5,f01_stimulus_6,f01_stimulus_7,f01_stimulus_8,f01_stimulus_9,f01_stimulus_10,f02_stimulus_1,f02_stimulus_2,f02_stimulus_3,f02_stimulus_4,f02_stimulus_5,f02_stimulus_6,f02_stimulus_7,f02_stimulus_8,f02_stimulus_9,f02_stimulus_10,f03_stimulus_1,f03_stimulus_2,f03_stimulus_3,f03_stimulus_4,f03_stimulus_5,f03_stimulus_6,f03_stimulus_7,f03_stimulus_8,f03_stimulus_9,f03_stimulus_10,f04_stimulus_1,f04_stimulus_2,f04_stimulus_3,f04_stimulus_4,f04_stimulus_5,f04_stimulus_6,f04_stimulus_7,f04_stimulus_8,f04_stimulus_9,f04_stimulus_10
0.0005,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,18.99632656,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,19.05204082,-0.94795918,-0.94795918,-0.94795918
0.0015,-1.41183674,-1.41183674,-1.41183674,-1.41183674,18.58816326,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,19.46020412
0.0025,-1.41183674,18.99632656,-1.41183674,18.58816326,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918
0.0035,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,18.99632656,-1.41183674,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,19.07673473,-1.33142857,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918
0.0045,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918
0.0055,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,18.58816326,-1.41183674,18.99632656,-1.41183674,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918
0.0065,18.58816326,18.99632656,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,18.58816326,-1.41183674,-1.41183674,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918
0.0075,-1.41183674,18.99632656,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-0.48448979,-0.48448979,19.92367351,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,19.05204082,-0.94795918,-0.94795918,-0.94795918
0.0085,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,18.58816326,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,19.07673473,-1.33142857,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,19.51551021,-0.48448979,-0.48448979,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918
0.0095,-1.41183674,-1.41183674,18.99632656,-1.41183674,18.58816326,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.94795918,19.46020412,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918
0.0105,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-0.48448979,19.92367351,-0.48448979,-0.48448979,-0.48448979,-0.48448979,19.51551021,-0.48448979,-0.48448979,-0.48448979,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918
0.0115,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.33142857,-1.33142857,19.07673473,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,19.05204082,-0.94795918,-0.94795918
0.0125,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918
0.0135,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,18.99632656,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,18.66857143,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918
0.0145,-1.41183674,-1.41183674,18.99632656,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,19.05204082,-0.94795918,-0.94795918,-0.94795918,-0.94795918
0.0155,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,18.58816326,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.33142857,19.07673473,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,19.46020412,-0.94795918
0.0165,18.58816326,-1.41183674,-1.41183674,-1.41183674,-1.41183674,18.58816326,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.33142857,19.07673473,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,19.07673473,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918
0.0175,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.41183674,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,18.66857143,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,19.92367351,19.92367351,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,19.05204082,-0.94795918,-0.94795918,-0.94795918
0.0185,-1.41183674,-1.41183674,-1.41183674,18.58816326,-1.41183674,-1.41183674,-1.41183674,-1.41183674,18.99632656,18.99632656,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,-1.33142857,19.07673473,-1.33142857,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.48448979,-0.94795918,-0.94795918,-0.94795918,-0.94795918,-0.94795918,19.05204082,-0.94795918,19.05204082,-0.94795918,-0.94795918
